Year.Month,Eadj,fYear.Month,Year,wYear,wMonth,Month,fYear,fMonth,Season,hv_size,hv_n
2012/05,0.36126609,12-May,2012,2012,1,5,2012,May,Wet,6.433142053,7
2012/06,0.531145887,12-Jun,2012,2012,2,6,2012,Jun,Wet,6.433142053,7
2012/07,0.481028709,12-Jul,2012,2012,3,7,2012,Jul,Wet,6.433142053,7
2012/08,0.427732644,12-Aug,2012,2012,4,8,2012,Aug,Wet,6.433142053,7
2012/09,0.391905756,12-Sep,2012,2012,5,9,2012,Sep,Wet,6.433142053,7
2012/10,0.468648181,12-Oct,2012,2012,6,10,2012,Oct,Wet,6.433142053,7
2012/11,0.590440333,12-Nov,2012,2012,7,11,2012,Nov,Dry,6.433142053,7
2012/12,0.614496659,12-Dec,2012,2012,8,12,2012,Dec,Dry,6.433142053,7
2013/01,0.541591582,13-Jan,2013,2012,9,1,2013,Jan,Dry,6.433142053,7
2013/02,0.539198158,13-Feb,2013,2012,10,2,2013,Feb,Dry,6.433142053,7
2013/03,0.526926012,13-Mar,2013,2012,11,3,2013,Mar,Dry,6.433142053,7
2013/04,0.38286724,13-Apr,2013,2012,12,4,2013,Apr,Dry,6.433142053,7
2013/05,0.258456485,13-May,2013,2013,1,5,2013,May,Wet,43.13271875,11
2013/06,0.542860522,13-Jun,2013,2013,2,6,2013,Jun,Wet,43.13271875,11
2013/07,0.632391187,13-Jul,2013,2013,3,7,2013,Jul,Wet,43.13271875,11
2013/08,0.605411224,13-Aug,2013,2013,4,8,2013,Aug,Wet,43.13271875,11
2013/09,0.515953212,13-Sep,2013,2013,5,9,2013,Sep,Wet,43.13271875,11
2013/10,0.710334307,13-Oct,2013,2013,6,10,2013,Oct,Wet,43.13271875,11
2013/11,0.679153131,13-Nov,2013,2013,7,11,2013,Nov,Dry,43.13271875,11
2013/12,0.668335885,13-Dec,2013,2013,8,12,2013,Dec,Dry,43.13271875,11
2014/01,0.531018714,14-Jan,2014,2013,9,1,2014,Jan,Dry,43.13271875,11
2014/02,0.391225663,14-Feb,2014,2013,10,2,2014,Feb,Dry,43.13271875,11
2014/03,0.27335123,14-Mar,2014,2013,11,3,2014,Mar,Dry,43.13271875,11
2014/04,0.333933202,14-Apr,2014,2013,12,4,2014,Apr,Dry,43.13271875,11
2014/05,0.425765365,14-May,2014,2014,1,5,2014,May,Wet,74.74717951,22
2014/06,0.346177497,14-Jun,2014,2014,2,6,2014,Jun,Wet,74.74717951,22
2014/07,0.582456202,14-Jul,2014,2014,3,7,2014,Jul,Wet,74.74717951,22
2014/08,0.634971093,14-Aug,2014,2014,4,8,2014,Aug,Wet,74.74717951,22
2014/09,0.515828611,14-Sep,2014,2014,5,9,2014,Sep,Wet,74.74717951,22
2014/10,0.647847969,14-Oct,2014,2014,6,10,2014,Oct,Wet,74.74717951,22
2014/11,0.562268682,14-Nov,2014,2014,7,11,2014,Nov,Dry,74.74717951,22
