common_name,species_name,sample_ID,Batch_ID,Type,group,season,Date,Year,Project,site,TL_cm,SL_cm,Weight_kg,d13C,d15N,d34S,N%,C%,S%,CN_molar_ratio,CS_molar_ratio,WSU_ID_CN,WSU_ID_S,WSU_ID_C,WSU_ID_N,,,
Gar,Lepisosteus platyrhincus,SRS-LEPPLA-1,,,Predator,dry19,,2019,FCE Foodwebs,SRS3,,,,-30.22,11.14,24.91,9.905029851,37.65343284,0.804475806,4.435019949,124.8131435,G-214711,S-29850,,,,,
Gar,Lepisosteus platyrhincus,SRS-LEPPLA-2,,,Predator,dry19,,2019,FCE Foodwebs,SRS3,,,,-30.4,11.87,25.24,9.228505618,34.25038202,0.860752841,4.329929533,106.1098468,G-214712,S-29851,,,,,
Gar,Lepisosteus platyrhincus,SRS-LEPPLA-3,,,Predator,dry19,,2019,FCE Foodwebs,SRS3,,,,-30.71,11.75,24.96,8.751148936,34.76035106,0.835623229,4.634104984,110.9283063,G-214713,S-29852,,,,,
Gar,Lepisosteus platyrhincus,SRS-LEPPLA-3-dup,,,Predator,dry19,,2019,FCE Foodwebs,SRS3,,,,-30.81,12.15,25.12,12.0931194,46.70095522,0.814911168,4.505408899,152.8214184,G-214722,S-29861,,,,,
Bull shark,Carcharhinus leucas,MS 318,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-20.4,12.06,9.83,14.331,41.205,0.9,3.354441421,122.0888889,G-209661,S-29008,,,,,
Bull shark,Carcharhinus leucas,MS 311,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-23.54,11.43,10.64,11.429,34.235,0.85,3.494691866,107.4039216,G-209662,S-29009,,,,,
Bull shark,Carcharhinus leucas,MS 312,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-22.88,11,14.19,11.877,34.269,1.078,3.366212006,84.77179963,G-209663,S-29010,,,,,
Bull shark,Carcharhinus leucas,MS 307,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-19.96,11.01,11.17,14.025,40.262,0.864,3.349185977,124.2654321,G-209664,S-29011,,,,,
Bull shark,Carcharhinus leucas,MS 330,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-21.12,10.97,9.29,13.496,38.679,0.954,3.343620332,108.1174004,G-209665,S-29012,,,,,
Bull shark,Carcharhinus leucas,MS 325,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-22.49,11.72,9.44,13.509,39.333,0.905,3.396883559,115.8983425,G-209666,S-29013,,,,,
Bull shark,Carcharhinus leucas,MS 324,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-19.38,13.5,11.71,13.583,39.445,0.768,3.387997251,136.9618056,G-209667,S-29014,,,,,
Bull shark,Carcharhinus leucas,MS 309,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-21.98,11.65,6.34,17.811,52.177,0.894,3.417728744,155.6360925,G-209668,S-29015,,,,,
Bull shark,Carcharhinus leucas,MS 317,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-22.29,12.34,7.41,13.79,42.037,0.868,3.55642978,129.1459293,G-209669,S-29016,,,,,
Bull shark,Carcharhinus leucas,MS 328,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-24.99,11.51,10.88,14.469,40.995,0.907,3.305515239,120.5292172,G-209670,S-29017,,,,,
Bull shark,Carcharhinus leucas,MS 305,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-20.85,11.39,6.38,14.48,39.96,0.839,3.22015793,127.0210568,G-209671,S-29018,,,,,
Bull shark,Carcharhinus leucas,MS 322,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-22.5,11.68,8.97,13.25,35.59,0.929,3.135157921,102.1686401,G-209672,S-29019,,,,,
Bull shark,Carcharhinus leucas,MS 308,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-23.2,10.88,8.17,15.56,44.18,0.741,3.31206494,158.9995502,G-209673,S-29020,,,,,
Bull shark,Carcharhinus leucas,MS 326,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-23.59,11.66,10.93,14.46,40.37,0.692,3.257643885,155.5491329,G-209674,S-29021,,,,,
Bull shark,Carcharhinus leucas,MS 321,200114_Nelson(S)+200127_Nelson(CN),,Predator,dry19,,2019,FCE Foodwebs,SRS4,,,,-22.75,10.72,5.21,14.44,41.95,0.934,3.390405265,119.7687366,G-209675,S-29022,,,,,
