"","Year.Month","Eadj","fYear.Month","Year","Month","fYear","fMonth","Season"
"1","2012/06",0.529398288046457,Jun 2012,2012,"06","2012","Jun","Wet"
"2","2012/07",0.481537799517628,Jul 2012,2012,"07","2012","Jul","Wet"
"3","2012/08",0.429776843539067,Aug 2012,2012,"08","2012","Aug","Wet"
"4","2012/09",0.392004654701974,Sep 2012,2012,"09","2012","Sep","Wet"
"5","2012/10",0.471184321358809,Oct 2012,2012,"10","2012","Oct","Wet"
"6","2012/11",0.591309072762222,Nov 2012,2012,"11","2012","Nov","Dry"
"7","2012/12",0.615212340572502,Dec 2012,2012,"12","2012","Dec","Dry"
"8","2013/01",0.542911756054546,Jan 2013,2013,"01","2013","Jan","Dry"
"9","2013/02",0.540177836178616,Feb 2013,2013,"02","2013","Feb","Dry"
"10","2013/03",0.526217707388186,Mar 2013,2013,"03","2013","Mar","Dry"
"11","2013/04",0.382879297834938,Apr 2013,2013,"04","2013","Apr","Dry"
"12","2013/05",0.261876783769387,May 2013,2013,"05","2013","May","Dry"
"13","2013/06",0.54303065010447,Jun 2013,2013,"06","2013","Jun","Wet"
"14","2013/07",0.632829019543793,Jul 2013,2013,"07","2013","Jul","Wet"
"15","2013/08",0.604359078803209,Aug 2013,2013,"08","2013","Aug","Wet"
"16","2013/09",0.516385776413284,Sep 2013,2013,"09","2013","Sep","Wet"
"17","2013/10",0.710717666562402,Oct 2013,2013,"10","2013","Oct","Wet"
"18","2013/11",0.679656594727929,Nov 2013,2013,"11","2013","Nov","Dry"
"19","2013/12",0.667752087879036,Dec 2013,2013,"12","2013","Dec","Dry"
"20","2014/01",0.530260936954197,Jan 2014,2014,"01","2014","Jan","Dry"
"21","2014/02",0.392641182262193,Feb 2014,2014,"02","2014","Feb","Dry"
"22","2014/03",0.273769650166666,Mar 2014,2014,"03","2014","Mar","Dry"
"23","2014/04",0.332955311166979,Apr 2014,2014,"04","2014","Apr","Dry"
"24","2014/05",0.424087112250818,May 2014,2014,"05","2014","May","Dry"
"25","2014/06",0.348245348476467,Jun 2014,2014,"06","2014","Jun","Wet"
"26","2014/07",0.580873045890116,Jul 2014,2014,"07","2014","Jul","Wet"
"27","2014/08",0.632320925643222,Aug 2014,2014,"08","2014","Aug","Wet"
"28","2014/09",0.515340411522338,Sep 2014,2014,"09","2014","Sep","Wet"
"29","2014/10",0.647435384574582,Oct 2014,2014,"10","2014","Oct","Wet"
"30","2014/11",0.561254457995825,Nov 2014,2014,"11","2014","Nov","Dry"
"31","2014/12",0.53758161909841,Dec 2014,2014,"12","2014","Dec","Dry"
"32","2015/01",0.261386414511588,Jan 2015,2015,"01","2015","Jan","Dry"
"33","2015/02",0.340990821489414,Feb 2015,2015,"02","2015","Feb","Dry"
"34","2015/03",0.36066583667807,Mar 2015,2015,"03","2015","Mar","Dry"
"35","2015/04",0.426013269524941,Apr 2015,2015,"04","2015","Apr","Dry"
"36","2015/05",0.499818129666119,May 2015,2015,"05","2015","May","Dry"
"37","2015/06",0.468333671962226,Jun 2015,2015,"06","2015","Jun","Wet"
"38","2015/07",0.530489394054942,Jul 2015,2015,"07","2015","Jul","Wet"
"39","2015/08",0.575733474983542,Aug 2015,2015,"08","2015","Aug","Wet"
"40","2015/09",0.762315810766963,Sep 2015,2015,"09","2015","Sep","Wet"
"41","2015/10",0.673497961742591,Oct 2015,2015,"10","2015","Oct","Wet"
"42","2015/11",0.713949783418693,Nov 2015,2015,"11","2015","Nov","Dry"
"43","2015/12",0.729802580237825,Dec 2015,2015,"12","2015","Dec","Dry"
"44","2016/01",0.718705462997264,Jan 2016,2016,"01","2016","Jan","Dry"
"45","2016/02",0.586259695261521,Feb 2016,2016,"02","2016","Feb","Dry"
"46","2016/03",0.58596092313454,Mar 2016,2016,"03","2016","Mar","Dry"
"47","2016/04",0.478124317808143,Apr 2016,2016,"04","2016","Apr","Dry"
"48","2016/05",0.592660645438947,May 2016,2016,"05","2016","May","Dry"
"49","2016/06",0.694543505036718,Jun 2016,2016,"06","2016","Jun","Wet"
"50","2016/07",0.638409593698705,Jul 2016,2016,"07","2016","Jul","Wet"
"51","2016/08",0.652454438946368,Aug 2016,2016,"08","2016","Aug","Wet"
"52","2016/09",0.651563810533183,Sep 2016,2016,"09","2016","Sep","Wet"
"53","2016/10",0.639330499103825,Oct 2016,2016,"10","2016","Oct","Wet"
"54","2016/11",0.645383685596576,Nov 2016,2016,"11","2016","Nov","Dry"
"55","2016/12",0.575018702231757,Dec 2016,2016,"12","2016","Dec","Dry"
"56","2017/01",0.625045989689778,Jan 2017,2017,"01","2017","Jan","Dry"
"57","2017/02",0.363505455431906,Feb 2017,2017,"02","2017","Feb","Dry"
"58","2017/03",0.402310881608227,Mar 2017,2017,"03","2017","Mar","Dry"
"59","2017/04",0.364840905862737,Apr 2017,2017,"04","2017","Apr","Dry"
"60","2017/05",0.423254455962552,May 2017,2017,"05","2017","May","Dry"
"61","2017/06",0.462726284631284,Jun 2017,2017,"06","2017","Jun","Wet"
"62","2017/07",0.473645050703138,Jul 2017,2017,"07","2017","Jul","Wet"
"63","2017/08",0.436681747609144,Aug 2017,2017,"08","2017","Aug","Wet"
"64","2017/09",0.472849749368236,Sep 2017,2017,"09","2017","Sep","Wet"
"65","2017/10",0.646646126512299,Oct 2017,2017,"10","2017","Oct","Wet"
"66","2017/11",0.708199755672558,Nov 2017,2017,"11","2017","Nov","Dry"
"67","2017/12",0.666806239919272,Dec 2017,2017,"12","2017","Dec","Dry"
"68","2018/01",0.590541637434569,Jan 2018,2018,"01","2018","Jan","Dry"
"69","2018/02",0.529825071483934,Feb 2018,2018,"02","2018","Feb","Dry"
"70","2018/03",0.546089804160667,Mar 2018,2018,"03","2018","Mar","Dry"
"71","2018/04",0.392043009817907,Apr 2018,2018,"04","2018","Apr","Dry"
"72","2018/05",0.397554296868643,May 2018,2018,"05","2018","May","Dry"
"73","2018/06",0.514470397653117,Jun 2018,2018,"06","2018","Jun","Wet"
"74","2018/07",0.655072007553846,Jul 2018,2018,"07","2018","Jul","Wet"
"75","2018/08",0.696319453505191,Aug 2018,2018,"08","2018","Aug","Wet"
"76","2018/09",0.658827648739774,Sep 2018,2018,"09","2018","Sep","Wet"
"77","2018/10",0.679450565854912,Oct 2018,2018,"10","2018","Oct","Wet"
"78","2018/11",0.599037514293806,Nov 2018,2018,"11","2018","Nov","Dry"
"79","2018/12",0.578890996439702,Dec 2018,2018,"12","2018","Dec","Dry"
"80","2019/01",0.54125295660159,Jan 2019,2019,"01","2019","Jan","Dry"
"81","2019/02",0.526051841923122,Feb 2019,2019,"02","2019","Feb","Dry"
"82","2019/03",0.572745377553084,Mar 2019,2019,"03","2019","Mar","Dry"
"83","2019/04",0.489218073483657,Apr 2019,2019,"04","2019","Apr","Dry"
"84","2019/05",0.574389581252447,May 2019,2019,"05","2019","May","Dry"
"85","2019/06",0.565825096263596,Jun 2019,2019,"06","2019","Jun","Wet"
"86","2019/07",0.604567802548045,Jul 2019,2019,"07","2019","Jul","Wet"
"87","2019/08",0.642080670327192,Aug 2019,2019,"08","2019","Aug","Wet"
"88","2019/09",0.62904009036435,Sep 2019,2019,"09","2019","Sep","Wet"
"89","2019/10",0.663769674231248,Oct 2019,2019,"10","2019","Oct","Wet"
"90","2019/11",0.645212520504794,Nov 2019,2019,"11","2019","Nov","Dry"
"91","2019/12",0.659787511499428,Dec 2019,2019,"12","2019","Dec","Dry"
"92","2020/01",0.60124655418859,Jan 2020,2020,"01","2020","Jan","Dry"
"93","2020/02",0.564872463544978,Feb 2020,2020,"02","2020","Feb","Dry"
"94","2020/03",0.563326818247787,Mar 2020,2020,"03","2020","Mar","Dry"
"95","2020/04",0.571386421240762,Apr 2020,2020,"04","2020","Apr","Dry"
"96","2020/05",0.37390507433988,May 2020,2020,"05","2020","May","Dry"
"97","2020/06",0.476031350640553,Jun 2020,2020,"06","2020","Jun","Wet"
"98","2020/07",0.502305959509361,Jul 2020,2020,"07","2020","Jul","Wet"
"99","2020/08",0.602296570864406,Aug 2020,2020,"08","2020","Aug","Wet"
"100","2020/09",0.503146694039989,Sep 2020,2020,"09","2020","Sep","Wet"
"101","2020/10",0.425817188285749,Oct 2020,2020,"10","2020","Oct","Wet"
"102","2020/11",0.657803844747272,Nov 2020,2020,"11","2020","Nov","Dry"
"103","2020/12",0.655240509578318,Dec 2020,2020,"12","2020","Dec","Dry"
"104","2021/01",0.465444129792933,Jan 2021,2021,"01","2021","Jan","Dry"
"105","2021/02",0.387359356333803,Feb 2021,2021,"02","2021","Feb","Dry"
"106","2021/03",0.532934187666658,Mar 2021,2021,"03","2021","Mar","Dry"
"107","2021/04",0.503026142338132,Apr 2021,2021,"04","2021","Apr","Dry"
"108","2021/05",0.405299712883075,May 2021,2021,"05","2021","May","Dry"
"109","2021/06",0.461289121396075,Jun 2021,2021,"06","2021","Jun","Wet"
"110","2021/07",0.607217014317405,Jul 2021,2021,"07","2021","Jul","Wet"
"111","2021/08",0.670421136234202,Aug 2021,2021,"08","2021","Aug","Wet"
