,Year.Month,Eadj,fYear.Month,Year,Month,fYear,fMonth,wYear,Season
1,2012/02,0.464178341,Feb-12,2012,2,2012,Feb,2011,Dry
2,2012/03,0.557387567,Mar-12,2012,3,2012,Mar,2011,Dry
3,2012/04,0.36803072,Apr-12,2012,4,2012,Apr,2011,Dry
4,2012/05,0.378250416,May-12,2012,5,2012,May,2011,Dry
5,2012/06,0.527395294,Jun-12,2012,6,2012,Jun,2012,Wet
6,2012/07,0.482865825,Jul-12,2012,7,2012,Jul,2012,Wet
7,2012/08,0.41497113,Aug-12,2012,8,2012,Aug,2012,Wet
8,2012/09,0.389897751,Sep-12,2012,9,2012,Sep,2012,Wet
9,2012/10,0.471830165,Oct-12,2012,10,2012,Oct,2012,Wet
10,2012/11,0.600999311,Nov-12,2012,11,2012,Nov,2012,Dry
11,2012/12,0.615908264,Dec-12,2012,12,2012,Dec,2012,Dry
12,2013/01,0.541934018,Jan-13,2013,1,2013,Jan,2012,Dry
13,2013/02,0.516195711,Feb-13,2013,2,2013,Feb,2012,Dry
14,2013/03,0.50116926,Mar-13,2013,3,2013,Mar,2012,Dry
15,2013/04,0.431081835,Apr-13,2013,4,2013,Apr,2012,Dry
16,2013/05,0.304104044,May-13,2013,5,2013,May,2012,Dry
17,2013/06,0.55975218,Jun-13,2013,6,2013,Jun,2013,Wet
18,2013/07,0.63711306,Jul-13,2013,7,2013,Jul,2013,Wet
19,2013/08,0.613804319,Aug-13,2013,8,2013,Aug,2013,Wet
20,2013/09,0.515745999,Sep-13,2013,9,2013,Sep,2013,Wet
21,2013/10,0.709986004,Oct-13,2013,10,2013,Oct,2013,Wet
22,2013/11,0.680188257,Nov-13,2013,11,2013,Nov,2013,Dry
23,2013/12,0.667423825,Dec-13,2013,12,2013,Dec,2013,Dry
24,2014/01,0.530718255,Jan-14,2014,1,2014,Jan,2013,Dry
25,2014/02,0.373546058,Feb-14,2014,2,2014,Feb,2013,Dry
26,2014/03,0.257635999,Mar-14,2014,3,2014,Mar,2013,Dry
27,2014/04,0.314355698,Apr-14,2014,4,2014,Apr,2013,Dry
28,2014/05,0.410043285,May-14,2014,5,2014,May,2013,Dry
29,2014/06,0.344196194,Jun-14,2014,6,2014,Jun,2014,Wet
30,2014/07,0.585298757,Jul-14,2014,7,2014,Jul,2014,Wet
31,2014/08,0.633658838,Aug-14,2014,8,2014,Aug,2014,Wet
32,2014/09,0.514684981,Sep-14,2014,9,2014,Sep,2014,Wet
33,2014/10,0.647898237,Oct-14,2014,10,2014,Oct,2014,Wet
34,2014/11,0.562032351,Nov-14,2014,11,2014,Nov,2014,Dry
35,2014/12,0.536801303,Dec-14,2014,12,2014,Dec,2014,Dry
36,2015/01,0.262044361,Jan-15,2015,1,2015,Jan,2014,Dry
37,2015/02,0.34308916,Feb-15,2015,2,2015,Feb,2014,Dry
38,2015/03,0.347591834,Mar-15,2015,3,2015,Mar,2014,Dry
39,2015/04,0.391190484,Apr-15,2015,4,2015,Apr,2014,Dry
40,2015/05,0.498011721,May-15,2015,5,2015,May,2014,Dry
41,2015/06,0.476349862,Jun-15,2015,6,2015,Jun,2015,Wet
42,2015/07,0.519265397,Jul-15,2015,7,2015,Jul,2015,Wet
43,2015/08,0.576446059,Aug-15,2015,8,2015,Aug,2015,Wet
44,2015/09,0.761753597,Sep-15,2015,9,2015,Sep,2015,Wet
45,2015/10,0.673956258,Oct-15,2015,10,2015,Oct,2015,Wet
46,2015/11,0.713855975,Nov-15,2015,11,2015,Nov,2015,Dry
47,2015/12,0.730525614,Dec-15,2015,12,2015,Dec,2015,Dry
48,2016/01,0.718334129,Jan-16,2016,1,2016,Jan,2015,Dry
49,2016/02,0.585833328,Feb-16,2016,2,2016,Feb,2015,Dry
50,2016/03,0.586380983,Mar-16,2016,3,2016,Mar,2015,Dry
51,2016/04,0.478105464,Apr-16,2016,4,2016,Apr,2015,Dry
52,2016/05,0.553033578,May-16,2016,5,2016,May,2015,Dry
53,2016/06,0.612457399,Jun-16,2016,6,2016,Jun,2016,Wet
54,2016/07,0.599381363,Jul-16,2016,7,2016,Jul,2016,Wet
55,2016/08,0.606798795,Aug-16,2016,8,2016,Aug,2016,Wet
56,2016/09,0.652201972,Sep-16,2016,9,2016,Sep,2016,Wet
57,2016/10,0.638727229,Oct-16,2016,10,2016,Oct,2016,Wet
58,2016/11,0.648865557,Nov-16,2016,11,2016,Nov,2016,Dry
59,2016/12,0.577477443,Dec-16,2016,12,2016,Dec,2016,Dry
60,2017/01,0.625175217,Jan-17,2017,1,2017,Jan,2016,Dry
61,2017/02,0.364217602,Feb-17,2017,2,2017,Feb,2016,Dry
62,2017/03,0.434798691,Mar-17,2017,3,2017,Mar,2016,Dry
63,2017/04,0.381261386,Apr-17,2017,4,2017,Apr,2016,Dry
64,2017/05,0.452905412,May-17,2017,5,2017,May,2016,Dry
65,2017/06,0.463690497,Jun-17,2017,6,2017,Jun,2017,Wet
66,2017/07,0.474567187,Jul-17,2017,7,2017,Jul,2017,Wet
67,2017/08,0.435699451,Aug-17,2017,8,2017,Aug,2017,Wet
68,2017/09,0.471010144,Sep-17,2017,9,2017,Sep,2017,Wet
69,2017/10,0.646342893,Oct-17,2017,10,2017,Oct,2017,Wet
70,2017/11,0.707373412,Nov-17,2017,11,2017,Nov,2017,Dry
71,2017/12,0.626571754,Dec-17,2017,12,2017,Dec,2017,Dry
72,2018/01,0.590306528,Jan-18,2018,1,2018,Jan,2017,Dry
73,2018/02,0.52882446,Feb-18,2018,2,2018,Feb,2017,Dry
74,2018/03,0.545748576,Mar-18,2018,3,2018,Mar,2017,Dry
75,2018/04,0.390495069,Apr-18,2018,4,2018,Apr,2017,Dry
76,2018/05,0.397536118,May-18,2018,5,2018,May,2017,Dry
77,2018/06,0.513907963,Jun-18,2018,6,2018,Jun,2018,Wet
78,2018/07,0.654416827,Jul-18,2018,7,2018,Jul,2018,Wet
79,2018/08,0.696731637,Aug-18,2018,8,2018,Aug,2018,Wet
80,2018/09,0.658672362,Sep-18,2018,9,2018,Sep,2018,Wet
81,2018/10,0.678868543,Oct-18,2018,10,2018,Oct,2018,Wet
82,2018/11,0.599820766,Nov-18,2018,11,2018,Nov,2018,Dry
83,2018/12,0.579714561,Dec-18,2018,12,2018,Dec,2018,Dry
