,Year.Month,Eadj,fYear.Month,Year,Month,fYear,fMonth,wYear,Season
1,2012/06,0.529597085,12-Jun,2012,6,2012,Jun,2012,Wet
2,2012/07,0.482725331,12-Jul,2012,7,2012,Jul,2012,Wet
3,2012/08,0.429398154,12-Aug,2012,8,2012,Aug,2012,Wet
4,2012/09,0.392928941,12-Sep,2012,9,2012,Sep,2012,Wet
5,2012/10,0.469874108,12-Oct,2012,10,2012,Oct,2012,Wet
6,2012/11,0.591003038,12-Nov,2012,11,2012,Nov,2012,Dry
7,2012/12,0.614041023,12-Dec,2012,12,2012,Dec,2012,Dry
8,2013/01,0.541772911,13-Jan,2013,1,2013,Jan,2012,Dry
9,2013/02,0.538028965,13-Feb,2013,2,2013,Feb,2012,Dry
10,2013/03,0.526802266,13-Mar,2013,3,2013,Mar,2012,Dry
11,2013/04,0.382640384,13-Apr,2013,4,2013,Apr,2012,Dry
12,2013/05,0.261016572,13-May,2013,5,2013,May,2012,Dry
13,2013/06,0.542670099,13-Jun,2013,6,2013,Jun,2013,Wet
14,2013/07,0.633296866,13-Jul,2013,7,2013,Jul,2013,Wet
15,2013/08,0.604592918,13-Aug,2013,8,2013,Aug,2013,Wet
16,2013/09,0.516582222,13-Sep,2013,9,2013,Sep,2013,Wet
17,2013/10,0.711126469,13-Oct,2013,10,2013,Oct,2013,Wet
18,2013/11,0.67946913,13-Nov,2013,11,2013,Nov,2013,Dry
19,2013/12,0.666740606,13-Dec,2013,12,2013,Dec,2013,Dry
20,2014/01,0.530324036,14-Jan,2014,1,2014,Jan,2013,Dry
21,2014/02,0.391048955,14-Feb,2014,2,2014,Feb,2013,Dry
22,2014/03,0.271391747,14-Mar,2014,3,2014,Mar,2013,Dry
23,2014/04,0.333689697,14-Apr,2014,4,2014,Apr,2013,Dry
24,2014/05,0.426156131,14-May,2014,5,2014,May,2013,Dry
25,2014/06,0.348415768,14-Jun,2014,6,2014,Jun,2014,Wet
26,2014/07,0.582460179,14-Jul,2014,7,2014,Jul,2014,Wet
27,2014/08,0.633992224,14-Aug,2014,8,2014,Aug,2014,Wet
28,2014/09,0.514074664,14-Sep,2014,9,2014,Sep,2014,Wet
29,2014/10,0.648261579,14-Oct,2014,10,2014,Oct,2014,Wet
30,2014/11,0.561646953,14-Nov,2014,11,2014,Nov,2014,Dry
31,2014/12,0.536064827,14-Dec,2014,12,2014,Dec,2014,Dry
32,2015/01,0.264890696,15-Jan,2015,1,2015,Jan,2014,Dry
33,2015/02,0.342396334,15-Feb,2015,2,2015,Feb,2014,Dry
34,2015/03,0.35980123,15-Mar,2015,3,2015,Mar,2014,Dry
35,2015/04,0.427016544,15-Apr,2015,4,2015,Apr,2014,Dry
36,2015/05,0.499730351,15-May,2015,5,2015,May,2014,Dry
37,2015/06,0.470202442,15-Jun,2015,6,2015,Jun,2015,Wet
38,2015/07,0.531016881,15-Jul,2015,7,2015,Jul,2015,Wet
39,2015/08,0.577112315,15-Aug,2015,8,2015,Aug,2015,Wet
40,2015/09,0.762124227,15-Sep,2015,9,2015,Sep,2015,Wet
41,2015/10,0.672513775,15-Oct,2015,10,2015,Oct,2015,Wet
42,2015/11,0.713798062,15-Nov,2015,11,2015,Nov,2015,Dry
43,2015/12,0.729437496,15-Dec,2015,12,2015,Dec,2015,Dry
44,2016/01,0.718834273,16-Jan,2016,1,2016,Jan,2015,Dry
45,2016/02,0.586751784,16-Feb,2016,2,2016,Feb,2015,Dry
46,2016/03,0.586718355,16-Mar,2016,3,2016,Mar,2015,Dry
47,2016/04,0.478876314,16-Apr,2016,4,2016,Apr,2015,Dry
48,2016/05,0.592931423,16-May,2016,5,2016,May,2015,Dry
49,2016/06,0.694998514,16-Jun,2016,6,2016,Jun,2016,Wet
50,2016/07,0.637855921,16-Jul,2016,7,2016,Jul,2016,Wet
51,2016/08,0.65392444,16-Aug,2016,8,2016,Aug,2016,Wet
52,2016/09,0.6527141,16-Sep,2016,9,2016,Sep,2016,Wet
53,2016/10,0.639483102,16-Oct,2016,10,2016,Oct,2016,Wet
54,2016/11,0.649714325,16-Nov,2016,11,2016,Nov,2016,Dry
55,2016/12,0.575387841,16-Dec,2016,12,2016,Dec,2016,Dry
56,2017/01,0.624542164,17-Jan,2017,1,2017,Jan,2016,Dry
57,2017/02,0.36466864,17-Feb,2017,2,2017,Feb,2016,Dry
58,2017/03,0.40083702,17-Mar,2017,3,2017,Mar,2016,Dry
59,2017/04,0.364748196,17-Apr,2017,4,2017,Apr,2016,Dry
60,2017/05,0.424026964,17-May,2017,5,2017,May,2016,Dry
61,2017/06,0.463139871,17-Jun,2017,6,2017,Jun,2017,Wet
62,2017/07,0.472541527,17-Jul,2017,7,2017,Jul,2017,Wet
63,2017/08,0.437433222,17-Aug,2017,8,2017,Aug,2017,Wet
64,2017/09,0.471135853,17-Sep,2017,9,2017,Sep,2017,Wet
65,2017/10,0.64742177,17-Oct,2017,10,2017,Oct,2017,Wet
66,2017/11,0.707022112,17-Nov,2017,11,2017,Nov,2017,Dry
67,2017/12,0.665890168,17-Dec,2017,12,2017,Dec,2017,Dry
68,2018/01,0.590484727,18-Jan,2018,1,2018,Jan,2017,Dry
69,2018/02,0.530720063,18-Feb,2018,2,2018,Feb,2017,Dry
70,2018/03,0.545883817,18-Mar,2018,3,2018,Mar,2017,Dry
71,2018/04,0.393574095,18-Apr,2018,4,2018,Apr,2017,Dry
72,2018/05,0.398125445,18-May,2018,5,2018,May,2017,Dry
73,2018/06,0.5140985,18-Jun,2018,6,2018,Jun,2018,Wet
74,2018/07,0.655103268,18-Jul,2018,7,2018,Jul,2018,Wet
75,2018/08,0.696253907,18-Aug,2018,8,2018,Aug,2018,Wet
76,2018/09,0.657250679,18-Sep,2018,9,2018,Sep,2018,Wet
77,2018/10,0.679143676,18-Oct,2018,10,2018,Oct,2018,Wet
78,2018/11,0.599486097,18-Nov,2018,11,2018,Nov,2018,Dry
79,2018/12,0.579984153,18-Dec,2018,12,2018,Dec,2018,Dry
80,2019/01,0.542338603,19-Jan,2019,1,2019,Jan,2018,Dry
81,2019/02,0.525962171,19-Feb,2019,2,2019,Feb,2018,Dry
82,2019/03,0.572468077,19-Mar,2019,3,2019,Mar,2018,Dry
83,2019/04,0.488814948,19-Apr,2019,4,2019,Apr,2018,Dry
84,2019/05,0.574310762,19-May,2019,5,2019,May,2018,Dry
85,2019/06,0.566650985,19-Jun,2019,6,2019,Jun,2019,Wet
86,2019/07,0.606477471,19-Jul,2019,7,2019,Jul,2019,Wet
87,2019/08,0.642683286,19-Aug,2019,8,2019,Aug,2019,Wet
88,2019/09,0.628044958,19-Sep,2019,9,2019,Sep,2019,Wet
89,2019/10,0.663147777,19-Oct,2019,10,2019,Oct,2019,Wet
90,2019/11,0.644829465,19-Nov,2019,11,2019,Nov,2019,Dry
91,2019/12,0.659266561,19-Dec,2019,12,2019,Dec,2019,Dry
92,2020/01,0.59973753,20-Jan,2020,1,2020,Jan,2019,Dry
93,2020/02,0.565274722,20-Feb,2020,2,2020,Feb,2019,Dry
94,2020/03,0.56403655,20-Mar,2020,3,2020,Mar,2019,Dry
95,2020/04,0.570998879,20-Apr,2020,4,2020,Apr,2019,Dry
96,2020/05,0.374352533,20-May,2020,5,2020,May,2019,Dry
97,2020/06,0.475024932,20-Jun,2020,6,2020,Jun,2020,Wet
98,2020/07,0.499636695,20-Jul,2020,7,2020,Jul,2020,Wet
99,2020/08,0.603230603,20-Aug,2020,8,2020,Aug,2020,Wet
100,2020/09,0.501937852,20-Sep,2020,9,2020,Sep,2020,Wet
101,2020/10,0.423854829,20-Oct,2020,10,2020,Oct,2020,Wet
102,2020/11,0.659449316,20-Nov,2020,11,2020,Nov,2020,Dry
103,2020/12,0.653396041,20-Dec,2020,12,2020,Dec,2020,Dry
104,2021/01,0.4713286,21-Jan,2021,1,2021,Jan,2020,Dry
105,2021/02,0.391656547,21-Feb,2021,2,2021,Feb,2020,Dry
106,2021/03,0.534583409,21-Mar,2021,3,2021,Mar,2020,Dry
107,2021/04,0.502536597,21-Apr,2021,4,2021,Apr,2020,Dry
108,2021/05,0.405555696,21-May,2021,5,2021,May,2020,Dry
