,Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Season
1,2012/02,0.604936537,12-Feb,2011,2012,2,2012,Feb,Dry
2,2012/03,0.547814083,12-Mar,2011,2012,3,2012,Mar,Dry
3,2012/04,0.373695573,12-Apr,2011,2012,4,2012,Apr,Dry
4,2012/05,0.36175711,12-May,2011,2012,5,2012,May,Dry
5,2012/06,0.529580395,12-Jun,2012,2012,6,2012,Jun,Wet
6,2012/07,0.48251138,12-Jul,2012,2012,7,2012,Jul,Wet
7,2012/08,0.433078491,12-Aug,2012,2012,8,2012,Aug,Wet
8,2012/09,0.39080247,12-Sep,2012,2012,9,2012,Sep,Wet
9,2012/10,0.470072943,12-Oct,2012,2012,10,2012,Oct,Wet
10,2012/11,0.591290301,12-Nov,2012,2012,11,2012,Nov,Dry
11,2012/12,0.614922346,12-Dec,2012,2012,12,2012,Dec,Dry
12,2013/01,0.54219223,13-Jan,2012,2013,1,2013,Jan,Dry
13,2013/02,0.537750543,13-Feb,2012,2013,2,2013,Feb,Dry
14,2013/03,0.5259411,13-Mar,2012,2013,3,2013,Mar,Dry
15,2013/04,0.382171808,13-Apr,2012,2013,4,2013,Apr,Dry
16,2013/05,0.265942025,13-May,2012,2013,5,2013,May,Dry
17,2013/06,0.543219629,13-Jun,2013,2013,6,2013,Jun,Wet
18,2013/07,0.632970432,13-Jul,2013,2013,7,2013,Jul,Wet
19,2013/08,0.605849634,13-Aug,2013,2013,8,2013,Aug,Wet
20,2013/09,0.5157585,13-Sep,2013,2013,9,2013,Sep,Wet
21,2013/10,0.710101998,13-Oct,2013,2013,10,2013,Oct,Wet
22,2013/11,0.679276101,13-Nov,2013,2013,11,2013,Nov,Dry
23,2013/12,0.667741906,13-Dec,2013,2013,12,2013,Dec,Dry
24,2014/01,0.5300953,14-Jan,2013,2014,1,2014,Jan,Dry
25,2014/02,0.392031405,14-Feb,2013,2014,2,2014,Feb,Dry
26,2014/03,0.272813729,14-Mar,2013,2014,3,2014,Mar,Dry
27,2014/04,0.334852773,14-Apr,2013,2014,4,2014,Apr,Dry
28,2014/05,0.425174278,14-May,2013,2014,5,2014,May,Dry
29,2014/06,0.34795299,14-Jun,2014,2014,6,2014,Jun,Wet
30,2014/07,0.581562185,14-Jul,2014,2014,7,2014,Jul,Wet
31,2014/08,0.635567143,14-Aug,2014,2014,8,2014,Aug,Wet
32,2014/09,0.515824386,14-Sep,2014,2014,9,2014,Sep,Wet
33,2014/10,0.64857333,14-Oct,2014,2014,10,2014,Oct,Wet
34,2014/11,0.559600577,14-Nov,2014,2014,11,2014,Nov,Dry
35,2014/12,0.536978005,14-Dec,2014,2014,12,2014,Dec,Dry
36,2015/01,0.265862528,15-Jan,2014,2015,1,2015,Jan,Dry
37,2015/02,0.342596721,15-Feb,2014,2015,2,2015,Feb,Dry
38,2015/03,0.359490623,15-Mar,2014,2015,3,2015,Mar,Dry
39,2015/04,0.426363542,15-Apr,2014,2015,4,2015,Apr,Dry
40,2015/05,0.500474591,15-May,2014,2015,5,2015,May,Dry
41,2015/06,0.469796682,15-Jun,2015,2015,6,2015,Jun,Wet
42,2015/07,0.531133808,15-Jul,2015,2015,7,2015,Jul,Wet
43,2015/08,0.581197649,15-Aug,2015,2015,8,2015,Aug,Wet
44,2015/09,0.761404363,15-Sep,2015,2015,9,2015,Sep,Wet
45,2015/10,0.671656705,15-Oct,2015,2015,10,2015,Oct,Wet
46,2015/11,0.713592769,15-Nov,2015,2015,11,2015,Nov,Dry
47,2015/12,0.73005988,15-Dec,2015,2015,12,2015,Dec,Dry
48,2016/01,0.717913025,16-Jan,2015,2016,1,2016,Jan,Dry
49,2016/02,0.584909447,16-Feb,2015,2016,2,2016,Feb,Dry
50,2016/03,0.587604914,16-Mar,2015,2016,3,2016,Mar,Dry
51,2016/04,0.477942876,16-Apr,2015,2016,4,2016,Apr,Dry
52,2016/05,0.593995429,16-May,2015,2016,5,2016,May,Dry
53,2016/06,0.694271941,16-Jun,2016,2016,6,2016,Jun,Wet
54,2016/07,0.636587675,16-Jul,2016,2016,7,2016,Jul,Wet
55,2016/08,0.653308225,16-Aug,2016,2016,8,2016,Aug,Wet
56,2016/09,0.652795647,16-Sep,2016,2016,9,2016,Sep,Wet
57,2016/10,0.63958374,16-Oct,2016,2016,10,2016,Oct,Wet
58,2016/11,0.648647952,16-Nov,2016,2016,11,2016,Nov,Dry
59,2016/12,0.576574132,16-Dec,2016,2016,12,2016,Dec,Dry
60,2017/01,0.625818214,17-Jan,2016,2017,1,2017,Jan,Dry
61,2017/02,0.365371982,17-Feb,2016,2017,2,2017,Feb,Dry
62,2017/03,0.40136273,17-Mar,2016,2017,3,2017,Mar,Dry
63,2017/04,0.363541003,17-Apr,2016,2017,4,2017,Apr,Dry
64,2017/05,0.422120349,17-May,2016,2017,5,2017,May,Dry
65,2017/06,0.462931845,17-Jun,2017,2017,6,2017,Jun,Wet
66,2017/07,0.474704073,17-Jul,2017,2017,7,2017,Jul,Wet
67,2017/08,0.437241533,17-Aug,2017,2017,8,2017,Aug,Wet
68,2017/09,0.471043569,17-Sep,2017,2017,9,2017,Sep,Wet
69,2017/10,0.645763632,17-Oct,2017,2017,10,2017,Oct,Wet
70,2017/11,0.707499088,17-Nov,2017,2017,11,2017,Nov,Dry
71,2017/12,0.66752947,17-Dec,2017,2017,12,2017,Dec,Dry
72,2018/01,0.588899777,18-Jan,2017,2018,1,2018,Jan,Dry
73,2018/02,0.530378555,18-Feb,2017,2018,2,2018,Feb,Dry
74,2018/03,0.546496457,18-Mar,2017,2018,3,2018,Mar,Dry
75,2018/04,0.39053017,18-Apr,2017,2018,4,2018,Apr,Dry
76,2018/05,0.40035003,18-May,2017,2018,5,2018,May,Dry
77,2018/06,0.514178835,18-Jun,2018,2018,6,2018,Jun,Wet
78,2018/07,0.654668137,18-Jul,2018,2018,7,2018,Jul,Wet
79,2018/08,0.696014455,18-Aug,2018,2018,8,2018,Aug,Wet
80,2018/09,0.658010171,18-Sep,2018,2018,9,2018,Sep,Wet
81,2018/10,0.677836294,18-Oct,2018,2018,10,2018,Oct,Wet
82,2018/11,0.599598145,18-Nov,2018,2018,11,2018,Nov,Dry
83,2018/12,0.579317426,18-Dec,2018,2018,12,2018,Dec,Dry
84,2019/01,0.541512114,19-Jan,2018,2019,1,2019,Jan,Dry
85,2019/02,0.525323101,19-Feb,2018,2019,2,2019,Feb,Dry
86,2019/03,0.572974292,19-Mar,2018,2019,3,2019,Mar,Dry
87,2019/04,0.489544768,19-Apr,2018,2019,4,2019,Apr,Dry
88,2019/05,0.575297406,19-May,2018,2019,5,2019,May,Dry
89,2019/06,0.565725047,19-Jun,2019,2019,6,2019,Jun,Wet
90,2019/07,0.606977899,19-Jul,2019,2019,7,2019,Jul,Wet
91,2019/08,0.64281288,19-Aug,2019,2019,8,2019,Aug,Wet
92,2019/09,0.626823292,19-Sep,2019,2019,9,2019,Sep,Wet
93,2019/10,0.662881568,19-Oct,2019,2019,10,2019,Oct,Wet
94,2019/11,0.645936708,19-Nov,2019,2019,11,2019,Nov,Dry
95,2019/12,0.660083204,19-Dec,2019,2019,12,2019,Dec,Dry
96,2020/01,0.599700989,20-Jan,2019,2020,1,2020,Jan,Dry
97,2020/02,0.565726756,20-Feb,2019,2020,2,2020,Feb,Dry
98,2020/03,0.563550187,20-Mar,2019,2020,3,2020,Mar,Dry
99,2020/04,0.570984504,20-Apr,2019,2020,4,2020,Apr,Dry
100,2020/05,0.374064455,20-May,2019,2020,5,2020,May,Dry
101,2020/06,0.4769886,20-Jun,2020,2020,6,2020,Jun,Wet
102,2020/07,0.501605381,20-Jul,2020,2020,7,2020,Jul,Wet
103,2020/08,0.602812328,20-Aug,2020,2020,8,2020,Aug,Wet
104,2020/09,0.500563173,20-Sep,2020,2020,9,2020,Sep,Wet
105,2020/10,0.424526077,20-Oct,2020,2020,10,2020,Oct,Wet
106,2020/11,0.659911412,20-Nov,2020,2020,11,2020,Nov,Dry
107,2020/12,0.655121076,20-Dec,2020,2020,12,2020,Dec,Dry
108,2021/01,0.469305076,21-Jan,2020,2021,1,2021,Jan,Dry
109,2021/02,0.392199061,21-Feb,2020,2021,2,2021,Feb,Dry
110,2021/03,0.534703438,21-Mar,2020,2021,3,2021,Mar,Dry
111,2021/04,0.504100885,21-Apr,2020,2021,4,2021,Apr,Dry
112,2021/05,0.405346101,21-May,2020,2021,5,2021,May,Dry
