season,site,Source,species_name,functional_grp,group,sampleID,d13C,C%,d15N,N%,d34S,S%
wet19,TS11,Arrow Shrimp,Tozeuma carolinense,Shrimp,Consumer,W19-TS11-Tcar1,-15.95,31.56233,4.18,9.877636364,13.28,1.04
wet19,TS11,Arrow Shrimp,Tozeuma carolinense,Shrimp,Consumer,W19-TS11-Tcar3,-16.44,26.38069091,4.2,7.7434,12.62,0.91
wet19,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal3,-23.79,37.72764444,10.11,11.73712222,21.28,1.03
wet19,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal2,-21.84,47.23936364,9.51,14.58672727,17.74,1.12
wet19,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal1,-21.97,50.41278182,9.66,15.698,17.64,1.08
wet19,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal4,-21.23,45.15426667,9.69,14.12666667,16.88,0.95
wet19,TS3,Asian Swamp Eel,Monopterus albus,demersal_fish,Consumer,W19-TS3-Mal5,-22.61,47.01426667,8.88,15.04833333,18.16,1.1
dry19,SRS6,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,SRS6 AN1,-24.43,52.435,9.29,14.836,15.42,1.36
wet19,TS7,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,W19-TS7-Ami1,-18.09,39.21777273,10.77,11.64476923,3.89,1.17
wet19,TS7,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,W19-TS7-Ami3,-18.08,46.36984546,9.46,12.76711111,3.82,1.21
wet19,TS7,Bay Anchovy,Anchoa mitchilli,Forage_fish,Consumer,W19-TS7-Ami2,-17.82,46.04783,10,13.33355556,2.38,1.21
dry19,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,TS10_BC1_d19,-12.87,29.27433333,5.84,6.728148148,8.49,0.81
wet19,SRS4,Blue Crab,Callinectus sapidus,Crab,Consumer,W19-SRS4-Csa2,-32.91,40.6737,6.45,12.093,5.21,0.85
wet19,SRS4,Blue Crab,Callinectus sapidus,Crab,Consumer,W19-SRS4-Csa1,-28.77,34.11236923,7.52,10.58153846,16.06,0.93
wet19,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,W19-TS10-Csa1,-11.65,38.65136,6.29,11.1746,1.63,0.99
wet19,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,W19-TS10-Csa2,-11.5,25.41051111,4.69,5.2336,9.11,0.79
wet19,TS10,Blue Crab,Callinectes sapidus,Crab,Consumer,W19-TS10-Csa3,-11.95,19.86351111,4.58,4.543692308,8.43,0.61
wet19,TS11,Blue Striped Grunt,Haemulon sciurus,demersal_fish,Consumer,W19-TS11-Hsc3,-13.91,36.0994,8.31,11.29225,9.13,1.28
wet19,TS11,Blue Striped Grunt,Haemulon sciurus,demersal_fish,Consumer,W19-TS11-Hsc1,-15.01,46.07608889,8.94,14.47355556,9.74,1.32
wet19,TS11,Blue Striped Grunt,Haemulon sciurus,demersal_fish,Consumer,W19-TS11-Hsc2,-14.49,40.52306667,8.91,12.37166667,11.28,1.36
dry19,SRS3,Bluefin killifish,Lucania goodei,Forage_fish,Consumer,SRS-LUCGOO-1,-31.46,31.88935417,7.95,8.649385417,22.09,0.661661808
dry19,SRS3,Bluefin killifish,Lucania goodei,Forage_fish,Consumer,SRS-LUCGOO-2,-31.03,26.90833333,8.53,6.912072917,22.31,0.617809917
dry19,SRS3,Bluefin killifish,Lucania goodei,Forage_fish,Consumer,SRS-LUCGOO-3,-30.66,34.4326125,8.84,9.1038875,21.86,0.585532258
dry19,TS3,Bluefin killifish,Lucania goodei,Forage_fish,Consumer,TSL-LUCGOO-1,-29.34,29.29259091,7.06,8.464102273,15.22,0.535616046
dry19,TS3,Bluefin killifish,Lucania goodei,Forage_fish,Consumer,TSL-LUCGOO-2,-29.33,28.65243077,7.55,8.078261539,14.32,0.5389875
dry19,TS3,Bluefin killifish,Lucania goodei,Forage_fish,Consumer,TSL-LUCGOO-3,-30.42,27.37858108,8.56,7.593108108,14.56,0.618540609
wet19,RB10,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-RB10-Lgo1,-29.05,36.9401,9.14,12.15333333,3.7,0.37
wet19,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-TS3-Lgo1,-23.48,40.21578889,7.52,13.6942,12.45,1.12
wet19,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-TS3-Lgo2,-23.05,42.12398889,8.15,12.2522,11.56,1.29
wet19,TS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-TS3-Lgo3,-23.15,40.84833333,7.49,13.13225,12.02,1.25
wet19,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-SRS3-Lgo3,-29.11,37.51881111,9.49,10.87,22.39,0.87
wet19,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-SRS3-Lgo1,-29.32,39.54794167,9.64,11.55133333,21.99,0.94
wet19,SRS3,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-SRS3-Lgo2,-28.84,40.68340909,9.45,12.11327273,22.11,0.97
wet19,RB10,Bluefin Killifish,Lucania goodei,Forage_fish,Consumer,W19-RB10-Lgo2,-31.63,38.05879091,9.1,11.14745455,20.21,0.8
dry19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG1_d19,-31.21,42.681,8.17,9.79,22.15,0.689
dry19,TS10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,TS10 BG1,-11.7,23.592,5.66,4.819,9.12,0.532
dry19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG2m_d19,-30.77,46.028,11.13,14.448,26.68,1.103
dry19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG3m_d19,-31.39,47.339,12.72,14.973,23.72,1.305
dry19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG4m_d19,-32.24,52.908,12.64,16.669,25.54,1.235
dry19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG5m_d19,-31.79,48.739,12.19,15.362,25.18,1.186
dry19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,RB10_BG6m_d19,-31.47,44.037,10.99,13.896,24.27,1.102
wet19,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma1,-28.39,49.28174546,8.72,15.11922727,16.38,1.17
wet19,TS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-TS3-Lma3,-28.74,53.78109091,8.72,16.38056364,18.37,1.13
wet19,SRS3,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-SRS3-Lma1,-28.41,49.05265455,10.11,14.89643636,21.08,1.06
wet19,RB10,Bluegill,Lepomis macrochirus,demersal_fish,Consumer,W19-RB10-Lma1,-28.35,44.72944,9.54,13.10609,15.9,1.05
