"","Year.Month","Eadj","fYear.Month","Year","Month","fYear","fMonth","Season"
"1","2012/02",0.464178341430007,Feb 2012,2012,"02","2012","Feb","Dry"
"2","2012/03",0.557387566691954,Mar 2012,2012,"03","2012","Mar","Dry"
"3","2012/04",0.36803071982425,Apr 2012,2012,"04","2012","Apr","Dry"
"4","2012/05",0.378250415519307,May 2012,2012,"05","2012","May","Dry"
"5","2012/06",0.527395293638739,Jun 2012,2012,"06","2012","Jun","Wet"
"6","2012/07",0.482865824975178,Jul 2012,2012,"07","2012","Jul","Wet"
"7","2012/08",0.414971129848847,Aug 2012,2012,"08","2012","Aug","Wet"
"8","2012/09",0.389897751125226,Sep 2012,2012,"09","2012","Sep","Wet"
"9","2012/10",0.471830165253018,Oct 2012,2012,"10","2012","Oct","Wet"
"10","2012/11",0.600999311467105,Nov 2012,2012,"11","2012","Nov","Dry"
"11","2012/12",0.615908263775916,Dec 2012,2012,"12","2012","Dec","Dry"
"12","2013/01",0.54193401752378,Jan 2013,2013,"01","2013","Jan","Dry"
"13","2013/02",0.516195710575006,Feb 2013,2013,"02","2013","Feb","Dry"
"14","2013/03",0.501169259698803,Mar 2013,2013,"03","2013","Mar","Dry"
"15","2013/04",0.431081835093859,Apr 2013,2013,"04","2013","Apr","Dry"
"16","2013/05",0.304104043507721,May 2013,2013,"05","2013","May","Dry"
"17","2013/06",0.559752179867534,Jun 2013,2013,"06","2013","Jun","Wet"
"18","2013/07",0.637113059719222,Jul 2013,2013,"07","2013","Jul","Wet"
"19","2013/08",0.613804318856163,Aug 2013,2013,"08","2013","Aug","Wet"
"20","2013/09",0.515745998612467,Sep 2013,2013,"09","2013","Sep","Wet"
"21","2013/10",0.709986003864116,Oct 2013,2013,"10","2013","Oct","Wet"
"22","2013/11",0.680188256836251,Nov 2013,2013,"11","2013","Nov","Dry"
"23","2013/12",0.667423824661862,Dec 2013,2013,"12","2013","Dec","Dry"
"24","2014/01",0.530718255266533,Jan 2014,2014,"01","2014","Jan","Dry"
"25","2014/02",0.373546058355663,Feb 2014,2014,"02","2014","Feb","Dry"
"26","2014/03",0.257635999107341,Mar 2014,2014,"03","2014","Mar","Dry"
"27","2014/04",0.314355698055435,Apr 2014,2014,"04","2014","Apr","Dry"
"28","2014/05",0.410043284579163,May 2014,2014,"05","2014","May","Dry"
"29","2014/06",0.344196194307103,Jun 2014,2014,"06","2014","Jun","Wet"
"30","2014/07",0.585298757233999,Jul 2014,2014,"07","2014","Jul","Wet"
