,Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Season
1,2012/02,0.603657751,Feb-12,2011,2012,02,2012,Feb,Dry
2,2012/03,0.549216712,Mar-12,2011,2012,03,2012,Mar,Dry
3,2012/04,0.3748645,Apr-12,2011,2012,04,2012,Apr,Dry
4,2012/05,0.361815077,May-12,2011,2012,05,2012,May,Dry
5,2012/06,0.529559034,Jun-12,2012,2012,06,2012,Jun,Wet
6,2012/07,0.481688992,Jul-12,2012,2012,07,2012,Jul,Wet
7,2012/08,0.426803417,Aug-12,2012,2012,08,2012,Aug,Wet
8,2012/09,0.391799081,Sep-12,2012,2012,09,2012,Sep,Wet
9,2012/10,0.469024925,Oct-12,2012,2012,10,2012,Oct,Wet
10,2012/11,0.59123243,Nov-12,2012,2012,11,2012,Nov,Dry
11,2012/12,0.615986632,Dec-12,2012,2012,12,2012,Dec,Dry
12,2013/01,0.539987497,Jan-13,2012,2013,01,2013,Jan,Dry
13,2013/02,0.539443354,Feb-13,2012,2013,02,2013,Feb,Dry
14,2013/03,0.527065079,Mar-13,2012,2013,03,2013,Mar,Dry
15,2013/04,0.383705515,Apr-13,2012,2013,04,2013,Apr,Dry
16,2013/05,0.263312506,May-13,2012,2013,05,2013,May,Dry
17,2013/06,0.542771616,Jun-13,2013,2013,06,2013,Jun,Wet
18,2013/07,0.633796684,Jul-13,2013,2013,07,2013,Jul,Wet
19,2013/08,0.605148586,Aug-13,2013,2013,08,2013,Aug,Wet
20,2013/09,0.515087318,Sep-13,2013,2013,09,2013,Sep,Wet
21,2013/10,0.710309742,Oct-13,2013,2013,10,2013,Oct,Wet
22,2013/11,0.679089284,Nov-13,2013,2013,11,2013,Nov,Dry
23,2013/12,0.667570054,Dec-13,2013,2013,12,2013,Dec,Dry
24,2014/01,0.530561014,Jan-14,2013,2014,01,2014,Jan,Dry
25,2014/02,0.3907849,Feb-14,2013,2014,02,2014,Feb,Dry
26,2014/03,0.271808791,Mar-14,2013,2014,03,2014,Mar,Dry
27,2014/04,0.332228714,Apr-14,2013,2014,04,2014,Apr,Dry
28,2014/05,0.425472548,May-14,2013,2014,05,2014,May,Dry
29,2014/06,0.346553265,Jun-14,2014,2014,06,2014,Jun,Wet
30,2014/07,0.583318111,Jul-14,2014,2014,07,2014,Jul,Wet
31,2014/08,0.634417434,Aug-14,2014,2014,08,2014,Aug,Wet
32,2014/09,0.513712567,Sep-14,2014,2014,09,2014,Sep,Wet
33,2014/10,0.647403913,Oct-14,2014,2014,10,2014,Oct,Wet
