"","ID","Year","Total.Det","Total.Yr.Month"
"1","18349",2016,27308,8
"2","18349",2017,5506,2
"3","18351",2016,8,1
"4","18351",2017,6881,6
"5","18351",2018,7724,5
"6","18355",2016,58,2
"7","18355",2017,115,4
"8","18355",2018,18,1
"9","18358",2016,782,1
"10","18358",2017,2,1
"11","18358",2018,226,8
"12","18358",2019,131,11
"13","18358",2020,59,3
"14","18367",2016,57727,8
"15","18367",2017,33341,12
"16","18367",2018,636,4
"17","18367",2019,8,3
"18","18367",2020,3,3
"19","18367",2021,1,1
"20","18370",2017,6465,7
"21","18372",2017,1967,3
"22","18372",2018,9585,11
"23","18372",2019,2,2
"24","18372",2020,6,1
"25","18373",2017,5040,8
"26","18378",2018,35477,9
"27","18378",2019,22636,7
"28","18379",2017,8763,6
"29","18382",2017,1206,6
"30","18382",2018,11,3
"31","18382",2019,44,2
"32","18383",2018,27270,11
"33","18383",2019,25039,12
"34","18383",2020,9262,11
"35","18383",2021,2094,7
"36","20049",2019,27446,9
"37","20049",2020,14276,6
"38","20053",2019,3340,3
"39","20053",2020,8898,8
"40","20056",2019,1585,3
"41","20056",2020,82,3
"42","20057",2019,2105,4
"43","20057",2020,12552,11
"44","21959",2017,4086,8
"45","21959",2018,16,5
"46","21960",2017,5254,7
"47","21960",2018,5,1
"48","21968",2015,2261,1
"49","21968",2016,15188,12
"50","21968",2017,3345,7
"51","21969",2017,1076,6
"52","21969",2018,6026,5
"53","21970",2016,19124,8
"54","21970",2017,14096,9
"55","21970",2018,1,1
"56","21971",2016,10759,12
"57","21971",2017,4574,6
"58","21973",2017,4994,3
"59","21973",2018,29603,12
"60","21973",2019,8514,5
"61","22177",2015,1207,7
"62","22180",2015,6186,9
"63","22180",2016,776,3
"64","22568",2019,13635,10
"65","22568",2020,17057,5
"66","22569",2019,44182,11
"67","22569",2021,11021,6
"68","22572",2019,3806,4
"69","22576",2019,22128,11
"70","22576",2020,1308,3
"71","22577",2019,7076,9
"72","22577",2020,11703,10
"73","22577",2021,35,2
"74","22578",2019,6745,10
"75","22578",2020,411,4
"76","22578",2021,1643,7
"77","23079",2015,9723,6
"78","23080",2015,2254,7
"79","23080",2016,173,10
"80","23080",2017,427,5
"81","23081",2015,890,7
"82","23082",2015,39682,8
"83","23082",2016,7612,5
"84","23082",2017,17476,9
"85","23082",2018,25029,12
"86","23082",2019,15184,12
"87","23082",2020,5648,6
"88","23084",2015,4425,5
"89","23085",2015,6620,4
"90","23085",2016,4787,9
"91","23085",2017,7498,6
"92","23086",2015,289,3
"93","23086",2016,1541,6
"94","23087",2015,3622,9
"95","23087",2016,1660,12
"96","23087",2017,411,5
"97","23090",2015,133654,10
"98","23090",2016,31183,12
"99","23090",2017,31691,12
"100","23090",2018,31839,12
"101","23090",2019,31757,12
"102","23090",2020,14981,6
"103","23091",2015,2936,8
"104","23091",2016,421,3
"105","25076",2014,4734,6
"106","25076",2015,7962,11
"107","25077",2014,20341,9
"108","25077",2015,5278,4
"109","25078",2014,3229,5
"110","25078",2015,14285,4
"111","25079",2014,1588,1
"112","25079",2015,4714,9
"113","25079",2016,8165,10
"114","25079",2017,670,1
"115","25080",2014,10247,7
"116","25080",2015,9569,6
"117","25081",2014,19776,7
"118","25081",2015,18350,10
"119","25081",2016,95,2
"120","25082",2014,6622,3
"121","25083",2014,9507,5
"122","25083",2015,1418,1
"123","25085",2014,1380,7
"124","25085",2015,175,2
"125","25086",2014,11220,6
"126","25086",2015,1599,3
"127","25090",2014,441,6
"128","25090",2015,1772,4
"129","26132",2018,42071,8
"130","26132",2019,16815,4
"131","26132",2020,779,2
