Species,baddate,Date,wYear,Month,Year,d13C,d15N,d34S,N_per,C_per,S_per,fMonth,fYear,ID
Common Snook,3/5/12,3/5/12,2011,Mar,2012,-27.22,10.25,0.29,8.58,28.78,0.35,Mar,2012,4
Common Snook,3/5/12,3/5/12,2011,Mar,2012,-18.58,12.48,7.87,8.58,26.55,0.41,Mar,2012,5
Common Snook,3/19/12,3/19/12,2011,Mar,2012,-26.79,12.74,23.82,7.23,24.44,0.44,Mar,2012,6
Common Snook,3/19/12,3/19/12,2011,Mar,2012,-25.79,11.33,17.4,10.12,33.11,0.58,Mar,2012,7
Common Snook,3/24/12,3/24/12,2011,Mar,2012,-25.46,10.22,7.07,8.5,28.69,0.5,Mar,2012,8
Common Snook,4/13/12,4/13/12,2011,Apr,2012,-27.48,13,25.95,7.41,25.18,0.47,Apr,2012,9
Common Snook,4/14/12,4/14/12,2011,Apr,2012,-25.15,13.19,21.86,9.33,29.78,0.57,Apr,2012,10
Common Snook,4/14/12,4/14/12,2011,Apr,2012,-26.66,12.61,21.51,9.57,30.78,0.47,Apr,2012,11
Common Snook,4/15/12,4/15/12,2011,Apr,2012,-27.91,12.55,20.39,9.72,33.1,2.05,Apr,2012,12
Common Snook,5/5/12,5/5/12,2012,May,2012,-24.69,13.67,19.4,8.72,28.15,0.5,May,2012,13
Common Snook,5/5/12,5/5/12,2012,May,2012,-28,11.24,29.08,9.89,34.77,0.54,May,2012,14
Common Snook,5/5/12,5/5/12,2012,May,2012,-27.05,12.58,26.65,8.16,27.69,0.53,May,2012,15
Common Snook,6/26/12,6/26/12,2012,Jun,2012,-27.33,12.82,25.35,7.78,26.79,0.43,Jun,2012,16
Common Snook,6/26/12,6/26/12,2012,Jun,2012,-27.16,12.84,26.57,9.25,30.19,0.48,Jun,2012,17
Common Snook,5/9/13,5/9/13,2012,May,2013,-26.25,12.16,21.44,4.93,15.93,0.32,May,2014,19
Common Snook,6/26/13,6/26/13,2013,Jun,2013,-25.75,12.66,13.51,8.33,27.59,0.46,Jun,2013,20
Common Snook,6/27/13,6/27/13,2013,Jun,2013,-24.55,12.05,5.96,8.44,26.8,0.4,Jun,2013,21
Common Snook,3/4/14,3/4/14,2013,Mar,2014,-23.68,11.18,6.97,8.26,27.19,0.47,Mar,2014,23
Common Snook,4/27/14,4/27/14,2013,Apr,2014,-24.84,11.97,14.03,7.83,26.49,0.47,Apr,2014,24
Common Snook,4/27/14,4/27/14,2013,Apr,2014,-25.72,12.01,21.46,7.43,25.37,0.43,Apr,2014,25
