year,ID,source,mean
2011,ID 1,Estuarine,0.86
2011,ID 1,Freshwater,0.091
2011,ID 1,Seagrass,0.049
2011,ID 2,Estuarine,0.287
2011,ID 2,Freshwater,0.231
2011,ID 2,Seagrass,0.481
2011,ID 3,Estuarine,0.079
2011,ID 3,Freshwater,0.885
2011,ID 3,Seagrass,0.036
2011,ID 4,Estuarine,0.967
2011,ID 4,Freshwater,0.028
2011,ID 4,Seagrass,0.004
2011,ID 5,Estuarine,0.411
2011,ID 5,Freshwater,0.099
2011,ID 5,Seagrass,0.49
2011,ID 6,Estuarine,0.018
2011,ID 6,Freshwater,0.976
2011,ID 6,Seagrass,0.006
2011,ID 7,Estuarine,0.158
2011,ID 7,Freshwater,0.819
2011,ID 7,Seagrass,0.023
2011,ID 8,Estuarine,0.895
2011,ID 8,Freshwater,0.096
2011,ID 8,Seagrass,0.009
2011,ID 9,Estuarine,0.01
2011,ID 9,Freshwater,0.987
2011,ID 9,Seagrass,0.003
2011,ID 10,Estuarine,0.039
2011,ID 10,Freshwater,0.913
2011,ID 10,Seagrass,0.048
2011,ID 11,Estuarine,0.03
2011,ID 11,Freshwater,0.962
2011,ID 11,Seagrass,0.007
2011,ID 12,Estuarine,0.018
2011,ID 12,Freshwater,0.979
2011,ID 12,Seagrass,0.003
2011,ID 13,Estuarine,0.06
2011,ID 13,Freshwater,0.847
2011,ID 13,Seagrass,0.093
2011,ID 14,Estuarine,0.007
2011,ID 14,Freshwater,0.991
2011,ID 14,Seagrass,0.002
2011,ID 15,Estuarine,0.011
2011,ID 15,Freshwater,0.986
2011,ID 15,Seagrass,0.004
2011,ID 16,Estuarine,0.012
2011,ID 16,Freshwater,0.984
2011,ID 16,Seagrass,0.004
2011,ID 17,Estuarine,0.011
2011,ID 17,Freshwater,0.986
2011,ID 17,Seagrass,0.004
2012,ID 18,Estuarine,0.014
2012,ID 18,Freshwater,0.982
2012,ID 18,Seagrass,0.003
2012,ID 19,Estuarine,0.044
2012,ID 19,Freshwater,0.945
2012,ID 19,Seagrass,0.01
2012,ID 20,Estuarine,0.396
2012,ID 20,Freshwater,0.59
2012,ID 20,Seagrass,0.013
2012,ID 21,Estuarine,0.89
2012,ID 21,Freshwater,0.097
2012,ID 21,Seagrass,0.013
2013,ID 22,Estuarine,0.225
2013,ID 22,Freshwater,0.208
2013,ID 22,Seagrass,0.567
2013,ID 23,Estuarine,0.865
2013,ID 23,Freshwater,0.104
2013,ID 23,Seagrass,0.031
2013,ID 24,Estuarine,0.417
2013,ID 24,Freshwater,0.539
2013,ID 24,Seagrass,0.044
2013,ID 25,Estuarine,0.04
2013,ID 25,Freshwater,0.934
2013,ID 25,Seagrass,0.026
2013,ID 26,Estuarine,0.054
2013,ID 26,Freshwater,0.701
2013,ID 26,Seagrass,0.245
2013,ID 27,Estuarine,0.012
2013,ID 27,Freshwater,0.984
2013,ID 27,Seagrass,0.004
2013,ID 28,Estuarine,0.14
2013,ID 28,Freshwater,0.764
2013,ID 28,Seagrass,0.096
2013,ID 29,Estuarine,0.04
2013,ID 29,Freshwater,0.933
2013,ID 29,Seagrass,0.027
2013,ID 30,Estuarine,0.176
2013,ID 30,Freshwater,0.798
2013,ID 30,Seagrass,0.026
2013,ID 31,Estuarine,0.035
2013,ID 31,Freshwater,0.952
2013,ID 31,Seagrass,0.012
2013,ID 32,Estuarine,0.032
2013,ID 32,Freshwater,0.961
2013,ID 32,Seagrass,0.007
2013,ID 33,Estuarine,0.032
2013,ID 33,Freshwater,0.962
2013,ID 33,Seagrass,0.005
2013,ID 34,Estuarine,0.016
2013,ID 34,Freshwater,0.979
2013,ID 34,Seagrass,0.005
2013,ID 35,Estuarine,0.016
2013,ID 35,Freshwater,0.98
2013,ID 35,Seagrass,0.005
2013,ID 36,Estuarine,0.039
2013,ID 36,Freshwater,0.947
2013,ID 36,Seagrass,0.014
2013,ID 37,Estuarine,0.019
2013,ID 37,Freshwater,0.973
2013,ID 37,Seagrass,0.008
2013,ID 38,Estuarine,0.021
2013,ID 38,Freshwater,0.964
2013,ID 38,Seagrass,0.015
2013,ID 39,Estuarine,0.036
2013,ID 39,Freshwater,0.946
2013,ID 39,Seagrass,0.018
2013,ID 40,Estuarine,0.1
2013,ID 40,Freshwater,0.878
2013,ID 40,Seagrass,0.022
2014,ID 41,Estuarine,0.021
2014,ID 41,Freshwater,0.972
2014,ID 41,Seagrass,0.007
2014,ID 42,Estuarine,0.186
2014,ID 42,Freshwater,0.147
2014,ID 42,Seagrass,0.667
2014,ID 43,Estuarine,0.023
2014,ID 43,Freshwater,0.971
2014,ID 43,Seagrass,0.006
2014,ID 44,Estuarine,0.02
2014,ID 44,Freshwater,0.964
2014,ID 44,Seagrass,0.016
2014,ID 45,Estuarine,0.033
2014,ID 45,Freshwater,0.952
2014,ID 45,Seagrass,0.016
2014,ID 46,Estuarine,0.025
2014,ID 46,Freshwater,0.96
2014,ID 46,Seagrass,0.014
