Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Season
2012/06,0.529559034,12-Jun,2012,2012,06,2012,Jun,Wet
2012/07,0.481688992,12-Jul,2012,2012,07,2012,Jul,Wet
2012/08,0.426803417,12-Aug,2012,2012,08,2012,Aug,Wet
2012/09,0.391799081,12-Sep,2012,2012,09,2012,Sep,Wet
2012/10,0.469024925,12-Oct,2012,2012,10,2012,Oct,Wet
2012/11,0.59123243,12-Nov,2012,2012,11,2012,Nov,Dry
2012/12,0.615986632,12-Dec,2012,2012,12,2012,Dec,Dry
2013/01,0.539987497,13-Jan,2012,2013,01,2013,Jan,Dry
2013/02,0.539443354,13-Feb,2012,2013,02,2013,Feb,Dry
2013/03,0.527065079,13-Mar,2012,2013,03,2013,Mar,Dry
2013/04,0.383705515,13-Apr,2012,2013,04,2013,Apr,Dry
2013/05,0.263312506,13-May,2012,2013,05,2013,May,Dry
2013/06,0.542771616,13-Jun,2013,2013,06,2013,Jun,Wet
2013/07,0.633796684,13-Jul,2013,2013,07,2013,Jul,Wet
2013/08,0.605148586,13-Aug,2013,2013,08,2013,Aug,Wet
2013/09,0.515087318,13-Sep,2013,2013,09,2013,Sep,Wet
2013/10,0.710309742,13-Oct,2013,2013,10,2013,Oct,Wet
2013/11,0.679089284,13-Nov,2013,2013,11,2013,Nov,Dry
2013/12,0.667570054,13-Dec,2013,2013,12,2013,Dec,Dry
2014/01,0.530561014,14-Jan,2013,2014,01,2014,Jan,Dry
2014/02,0.3907849,14-Feb,2013,2014,02,2014,Feb,Dry
2014/03,0.271808791,14-Mar,2013,2014,03,2014,Mar,Dry
2014/04,0.332228714,14-Apr,2013,2014,04,2014,Apr,Dry
2014/05,0.425472548,14-May,2013,2014,05,2014,May,Dry
2014/06,0.346553265,14-Jun,2014,2014,06,2014,Jun,Wet
2014/07,0.583318111,14-Jul,2014,2014,07,2014,Jul,Wet
2014/08,0.634417434,14-Aug,2014,2014,08,2014,Aug,Wet
2014/09,0.513712567,14-Sep,2014,2014,09,2014,Sep,Wet
2014/10,0.647403913,14-Oct,2014,2014,10,2014,Oct,Wet
2014/11,0.561231571,14-Nov,2014,2014,11,2014,Nov,Dry
2014/12,0.536545019,14-Dec,2014,2014,12,2014,Dec,Dry
2015/01,0.265578008,15-Jan,2014,2015,01,2015,Jan,Dry
2015/02,0.341950909,15-Feb,2014,2015,02,2015,Feb,Dry
2015/03,0.359743122,15-Mar,2014,2015,03,2015,Mar,Dry
2015/04,0.426395247,15-Apr,2014,2015,04,2015,Apr,Dry
2015/05,0.500430143,15-May,2014,2015,05,2015,May,Dry
2015/06,0.469064335,15-Jun,2015,2015,06,2015,Jun,Wet
2015/07,0.531400938,15-Jul,2015,2015,07,2015,Jul,Wet
2015/08,0.577410522,15-Aug,2015,2015,08,2015,Aug,Wet
2015/09,0.761294331,15-Sep,2015,2015,09,2015,Sep,Wet
2015/10,0.67209444,15-Oct,2015,2015,10,2015,Oct,Wet
2015/11,0.713025739,15-Nov,2015,2015,11,2015,Nov,Dry
2015/12,0.730395004,15-Dec,2015,2015,12,2015,Dec,Dry
2016/01,0.717784884,16-Jan,2015,2016,01,2016,Jan,Dry
2016/02,0.586562859,16-Feb,2015,2016,02,2016,Feb,Dry
2016/03,0.586979355,16-Mar,2015,2016,03,2016,Mar,Dry
2016/04,0.473745716,16-Apr,2015,2016,04,2016,Apr,Dry
2016/05,0.592244256,16-May,2015,2016,05,2016,May,Dry
2016/06,0.694044634,16-Jun,2016,2016,06,2016,Jun,Wet
2016/07,0.637378205,16-Jul,2016,2016,07,2016,Jul,Wet
2016/08,0.653043101,16-Aug,2016,2016,08,2016,Aug,Wet
2016/09,0.652521363,16-Sep,2016,2016,09,2016,Sep,Wet
2016/10,0.63738042,16-Oct,2016,2016,10,2016,Oct,Wet
2016/11,0.648781848,16-Nov,2016,2016,11,2016,Nov,Dry
2016/12,0.577036999,16-Dec,2016,2016,12,2016,Dec,Dry
2017/01,0.625489043,17-Jan,2016,2017,01,2017,Jan,Dry
2017/02,0.363735328,17-Feb,2016,2017,02,2017,Feb,Dry
2017/03,0.400457476,17-Mar,2016,2017,03,2017,Mar,Dry
2017/04,0.364682485,17-Apr,2016,2017,04,2017,Apr,Dry
2017/05,0.422954196,17-May,2016,2017,05,2017,May,Dry
2017/06,0.463014083,17-Jun,2017,2017,06,2017,Jun,Wet
2017/07,0.472997318,17-Jul,2017,2017,07,2017,Jul,Wet
2017/08,0.440417045,17-Aug,2017,2017,08,2017,Aug,Wet
2017/09,0.470702929,17-Sep,2017,2017,09,2017,Sep,Wet
2017/10,0.646950841,17-Oct,2017,2017,10,2017,Oct,Wet
2017/11,0.70751987,17-Nov,2017,2017,11,2017,Nov,Dry
2017/12,0.666295769,17-Dec,2017,2017,12,2017,Dec,Dry
2018/01,0.590414523,18-Jan,2017,2018,01,2018,Jan,Dry
2018/02,0.531162624,18-Feb,2017,2018,02,2018,Feb,Dry
2018/03,0.545358074,18-Mar,2017,2018,03,2018,Mar,Dry
2018/04,0.393147684,18-Apr,2017,2018,04,2018,Apr,Dry
2018/05,0.399243478,18-May,2017,2018,05,2018,May,Dry
2018/06,0.514529545,18-Jun,2018,2018,06,2018,Jun,Wet
2018/07,0.655076063,18-Jul,2018,2018,07,2018,Jul,Wet
2018/08,0.696664374,18-Aug,2018,2018,08,2018,Aug,Wet
2018/09,0.657548105,18-Sep,2018,2018,09,2018,Sep,Wet
2018/10,0.679125736,18-Oct,2018,2018,10,2018,Oct,Wet
2018/11,0.598904141,18-Nov,2018,2018,11,2018,Nov,Dry
2018/12,0.580005589,18-Dec,2018,2018,12,2018,Dec,Dry
2019/01,0.542059452,19-Jan,2018,2019,01,2019,Jan,Dry
2019/02,0.525216526,19-Feb,2018,2019,02,2019,Feb,Dry
2019/03,0.57233148,19-Mar,2018,2019,03,2019,Mar,Dry
2019/04,0.488931916,19-Apr,2018,2019,04,2019,Apr,Dry
2019/05,0.574304848,19-May,2018,2019,05,2019,May,Dry
2019/06,0.567028776,19-Jun,2019,2019,06,2019,Jun,Wet
2019/07,0.605910042,19-Jul,2019,2019,07,2019,Jul,Wet
2019/08,0.641642113,19-Aug,2019,2019,08,2019,Aug,Wet
2019/09,0.626570896,19-Sep,2019,2019,09,2019,Sep,Wet
2019/10,0.663281432,19-Oct,2019,2019,10,2019,Oct,Wet
