"","ID","Year","Total.Det","Total.Yr.Month"
"1","18343",2016,18,1
"2","18344",2016,60,2
"3","18347",2016,18,2
"4","18348",2016,15,2
"5","18349",2016,27308,8
"6","18349",2017,5506,2
"7","18351",2016,8,1
"8","18351",2017,6881,6
"9","18351",2018,7724,5
"10","18355",2016,58,2
"11","18355",2017,115,4
"12","18355",2018,18,1
"13","18356",2016,18,1
"14","18358",2016,782,1
"15","18358",2017,2,1
"16","18358",2018,226,8
"17","18358",2019,131,11
"18","18358",2020,59,3
"19","18367",2016,57727,8
"20","18367",2017,33341,12
"21","18367",2018,636,4
"22","18367",2019,8,3
"23","18367",2020,3,3
"24","18367",2021,1,1
"25","18370",2017,6465,7
"26","18372",2017,1967,3
"27","18372",2018,9585,11
"28","18372",2019,2,2
"29","18372",2020,6,1
"30","18373",2017,5040,8
"31","18378",2018,35477,9
"32","18378",2019,22636,7
"33","18379",2017,8763,6
"34","18380",2017,4857,3
"35","18382",2017,1206,6
"36","18382",2018,11,3
"37","18382",2019,44,2
"38","18383",2018,27270,11
"39","18383",2019,25039,12
"40","18383",2020,9262,11
"41","18383",2021,2094,7
"42","20049",2019,27446,9
"43","20049",2020,14276,6
"44","20051",2019,3899,3
"45","20052",2019,2872,4
"46","20053",2019,3340,3
"47","20053",2020,8898,8
"48","20055",2019,361,2
"49","20056",2019,1585,3
"50","20056",2020,82,3
"51","20057",2019,2105,4
"52","20057",2020,12552,11
"53","21959",2017,4086,8
"54","21959",2018,16,5
"55","21960",2017,5254,7
"56","21960",2018,5,1
"57","21967",2016,32,1
"58","21968",2015,2261,1
"59","21968",2016,15188,12
"60","21968",2017,3345,7
"61","21969",2017,1076,6
"62","21969",2018,6026,5
"63","21970",2016,19124,8
"64","21970",2017,14096,9
"65","21970",2018,1,1
"66","21971",2016,10759,12
"67","21971",2017,4574,6
"68","21973",2017,4994,3
"69","21973",2018,29603,12
"70","21973",2019,8514,5
"71","22177",2015,1207,7
"72","22180",2015,6186,9
"73","22180",2016,776,3
"74","22182",2015,127,1
"75","22568",2019,13635,10
"76","22568",2020,17057,5
"77","22569",2019,44182,11
"78","22569",2021,11021,6
"79","22571",2019,3208,4
"80","22572",2019,3806,4
"81","22576",2019,22128,11
"82","22576",2020,1308,3
"83","22577",2019,7076,9
"84","22577",2020,11703,10
"85","22577",2021,35,2
"86","22578",2019,6745,10
"87","22578",2020,411,4
"88","22578",2021,1643,7
"89","23079",2015,9723,6
"90","23080",2015,2254,7
"91","23080",2016,173,10
"92","23080",2017,427,5
"93","23081",2015,890,7
"94","23082",2015,39682,8
"95","23082",2016,7612,5
"96","23082",2017,17476,9
"97","23082",2018,25029,12
"98","23082",2019,15184,12
"99","23082",2020,5648,6
"100","23084",2015,4425,5
"101","23085",2015,6620,4
"102","23085",2016,4787,9
"103","23085",2017,7498,6
"104","23086",2015,289,3
"105","23086",2016,1541,6
"106","23087",2015,3622,9
"107","23087",2016,1660,12
"108","23087",2017,411,5
"109","23088",2015,5630,3
"110","23089",2016,18,1
"111","23090",2015,133654,10
"112","23090",2016,31183,12
"113","23090",2017,31691,12
"114","23090",2018,31839,12
"115","23090",2019,31757,12
"116","23090",2020,14981,6
"117","23091",2015,2936,8
"118","23091",2016,421,3
"119","23092",2015,28,2
"120","23093",2015,3171,2
"121","25076",2014,4734,6
"122","25076",2015,7962,11
"123","25077",2014,20341,9
"124","25077",2015,5278,4
"125","25078",2014,3229,5
"126","25078",2015,14285,4
"127","25079",2014,1588,1
"128","25079",2015,4714,9
"129","25079",2016,8165,10
"130","25079",2017,670,1
"131","25080",2014,10247,7
"132","25080",2015,9569,6
"133","25081",2014,19776,7
"134","25081",2015,18350,10
"135","25081",2016,95,2
"136","25082",2014,6622,3
"137","25083",2014,9507,5
"138","25083",2015,1418,1
