date,year,month,day,month_long,month_short,median_navd88_ft,stage_cm,season
2000-01-01,2000,01,01,January,Jan,1.42,53.0352,dry
2000-01-02,2000,01,02,January,Jan,1.4,52.4256,dry
2000-01-03,2000,01,03,January,Jan,1.39,52.1208,dry
2000-01-04,2000,01,04,January,Jan,1.38,51.816,dry
2000-01-05,2000,01,05,January,Jan,1.37,51.5112,dry
2000-01-06,2000,01,06,January,Jan,1.36,51.2064,dry
2000-01-07,2000,01,07,January,Jan,1.35,50.9016,dry
2000-01-08,2000,01,08,January,Jan,1.34,50.5968,dry
2000-01-09,2000,01,09,January,Jan,1.33,50.292,dry
2000-01-10,2000,01,10,January,Jan,1.31,49.6824,dry
2000-01-11,2000,01,11,January,Jan,1.31,49.6824,dry
2000-01-12,2000,01,12,January,Jan,1.29,49.0728,dry
2000-01-13,2000,01,13,January,Jan,1.28,48.768,dry
2000-01-14,2000,01,14,January,Jan,1.26,48.1584,dry
2000-01-15,2000,01,15,January,Jan,1.23,47.244,dry
2000-01-16,2000,01,16,January,Jan,1.21,46.6344,dry
2000-01-17,2000,01,17,January,Jan,1.19,46.0248,dry
2000-01-18,2000,01,18,January,Jan,1.18,45.72,dry
2000-01-19,2000,01,19,January,Jan,1.18,45.72,dry
2000-01-20,2000,01,20,January,Jan,1.17,45.4152,dry
2000-01-21,2000,01,21,January,Jan,1.16,45.1104,dry
2000-01-22,2000,01,22,January,Jan,1.15,44.8056,dry
2000-01-23,2000,01,23,January,Jan,1.15,44.8056,dry
2000-01-24,2000,01,24,January,Jan,1.17,45.4152,dry
2000-01-25,2000,01,25,January,Jan,1.17,45.4152,dry
2000-01-26,2000,01,26,January,Jan,1.16,45.1104,dry
2000-01-27,2000,01,27,January,Jan,1.15,44.8056,dry
2000-01-28,2000,01,28,January,Jan,1.13,44.196,dry
2000-01-29,2000,01,29,January,Jan,1.11,43.586400000000005,dry
2000-01-30,2000,01,30,January,Jan,1.11,43.586400000000005,dry
2000-01-31,2000,01,31,January,Jan,1.1,43.281600000000005,dry
2000-02-01,2000,02,01,February,Feb,1.09,42.976800000000004,dry
2000-02-02,2000,02,02,February,Feb,1.08,42.672000000000004,dry
2000-02-03,2000,02,03,February,Feb,1.07,42.367200000000004,dry
2000-02-04,2000,02,04,February,Feb,1.06,42.062400000000004,dry
2000-02-05,2000,02,05,February,Feb,1.05,41.757600000000004,dry
2000-02-06,2000,02,06,February,Feb,1.03,41.148,dry
2000-02-07,2000,02,07,February,Feb,1.02,40.8432,dry
2000-02-08,2000,02,08,February,Feb,1.01,40.5384,dry
2000-02-09,2000,02,09,February,Feb,1.08,42.672000000000004,dry
2000-02-10,2000,02,10,February,Feb,1.07,42.367200000000004,dry
2000-02-11,2000,02,11,February,Feb,1.06,42.062400000000004,dry
2000-02-12,2000,02,12,February,Feb,1.05,41.757600000000004,dry
2000-02-13,2000,02,13,February,Feb,1.04,41.4528,dry
2000-02-14,2000,02,14,February,Feb,1.03,41.148,dry
2000-02-15,2000,02,15,February,Feb,1.03,41.148,dry
2000-02-16,2000,02,16,February,Feb,1.02,40.8432,dry
2000-02-17,2000,02,17,February,Feb,1.01,40.5384,dry
2000-02-18,2000,02,18,February,Feb,0.99,39.9288,dry
2000-02-19,2000,02,19,February,Feb,0.98,39.624,dry
