year,obs,wYear,vol
2012,3,2011,3.261823838
2012,3,2011,9.184669205
2012,3,2011,4.842998266
2012,3,2011,4.168891853
2012,3,2011,3.40180046
2012,3,2011,5.562004121
2012,3,2011,6.383809997
2012,3,2011,7.13679968
2012,3,2011,4.297177557
2012,3,2011,6.220483537
2012,3,2011,5.186515737
2012,3,2011,6.254868754
2012,3,2011,4.933501654
2012,3,2011,3.042925031
2012,3,2011,5.117342548
2012,3,2011,4.933994773
2012,3,2011,5.631890819
2012,3,2011,6.823341071
2012,3,2011,4.382943044
2012,3,2011,7.512512842
2013,3,2012,48.4538159
2013,3,2012,49.92482006
2013,3,2012,43.67964782
2013,3,2012,58.36673383
2013,3,2012,97.01768826
2013,3,2012,59.06572931
2013,3,2012,78.98796208
2013,3,2012,61.34927527
2013,3,2012,38.08931848
2013,3,2012,89.35974018
2013,3,2012,62.6606965
2013,3,2012,41.85308034
2013,3,2012,40.13059952
2013,3,2012,68.57603699
2013,3,2012,37.96874624
2013,3,2012,74.75926512
2013,3,2012,80.53882178
2013,3,2012,60.34997125
2013,3,2012,49.28906158
2013,3,2012,52.80979154
2014,20,2013,2.967414056
2014,20,2013,3.621146699
2014,20,2013,2.782573902
2014,20,2013,2.265316289
2014,20,2013,2.67922743
2014,20,2013,1.871348838
2014,20,2013,2.976344468
2014,20,2013,2.985676834
2014,20,2013,3.861640277
2014,20,2013,1.486176055
2014,20,2013,3.025192387
2014,20,2013,2.885111563
2014,20,2013,3.292552512
2014,20,2013,3.249462412
2014,20,2013,2.916390872
2014,20,2013,2.351728719
2014,20,2013,2.864523703
2014,20,2013,3.710175677
2014,20,2013,2.315028195
2014,20,2013,2.172880656
2015,12,2014,3.285261493
2015,12,2014,5.070775129
2015,12,2014,5.924225951
2015,12,2014,4.045337481
2015,12,2014,1.872774006
2015,12,2014,3.413014588
2015,12,2014,6.365209551
2015,12,2014,6.514869778
2015,12,2014,2.258940104
2015,12,2014,3.045761679
2015,12,2014,4.701324283
2015,12,2014,3.871532452
2015,12,2014,4.751834265
2015,12,2014,3.730278119
2015,12,2014,4.852002153
2015,12,2014,6.828272249
2015,12,2014,4.932365644
2015,12,2014,3.671656812
2015,12,2014,4.476703406
2015,12,2014,2.950939828
2017,11,2016,5.215162103
2017,11,2016,8.501897362
2017,11,2016,9.75230387
2017,11,2016,5.472686079
2017,11,2016,6.958331021
2017,11,2016,5.721685545
2017,11,2016,6.65773423
2017,11,2016,6.908873085
2017,11,2016,5.967710181
2017,11,2016,5.286204503
2017,11,2016,6.20775585
2017,11,2016,5.594251026
2017,11,2016,7.504315215
2017,11,2016,8.158010511
2017,11,2016,9.504646605
2017,11,2016,5.893190355
2017,11,2016,4.862132143
2017,11,2016,7.917450842
2017,11,2016,5.870713086
2017,11,2016,3.846127348
2018,17,2017,1.75628535
2018,17,2017,4.54902178
2018,17,2017,2.64291003
2018,17,2017,2.12578017
2018,17,2017,3.71102942
2018,17,2017,3.20106808
2018,17,2017,4.96415026
2018,17,2017,6.26657056
2018,17,2017,4.45240441
2018,17,2017,3.8457773
2018,17,2017,3.69199986
2018,17,2017,3.65460749
2018,17,2017,2.42551822
2018,17,2017,1.65335809
2018,17,2017,4.78469055
2018,17,2017,3.5958795
2018,17,2017,4.98322176
2018,17,2017,3.32942571
2018,17,2017,3.85903671
2018,17,2017,4.6142179
2019,10,2018,7.709899229
2019,10,2018,8.690001559
2019,10,2018,6.671819406
2019,10,2018,12.86788084
2019,10,2018,6.171712658
2019,10,2018,8.040074439
2019,10,2018,12.66364255
2019,10,2018,8.49925702
2019,10,2018,12.23137588
2019,10,2018,8.680091368
2019,10,2018,10.13643035
2019,10,2018,8.954792103
2019,10,2018,10.86701869
2019,10,2018,7.590012433
2019,10,2018,9.876565309
2019,10,2018,11.35491949
2019,10,2018,12.061487
2019,10,2018,8.964016922
2019,10,2018,9.119365091
2019,10,2018,9.133539345
2020,8,2019,16.62607188
2020,8,2019,11.91232235
2020,8,2019,13.79734286
2020,8,2019,11.58527893
2020,8,2019,6.633555508
2020,8,2019,9.039946136
2020,8,2019,10.42073178
2020,8,2019,14.1686407
2020,8,2019,14.12370494
2020,8,2019,8.089984865
2020,8,2019,13.39018132
2020,8,2019,10.95083751
2020,8,2019,8.500145315
2020,8,2019,14.61494175
2020,8,2019,11.6000749
2020,8,2019,8.160649011
2020,8,2019,13.73472914
2020,8,2019,13.34411099
2020,8,2019,10.32419338
2020,8,2019,15.86634759
2021,4,2020,51.70204847
2021,4,2020,50.51069316
2021,4,2020,98.74684347
2021,4,2020,41.37354283
2021,4,2020,94.18353071
2021,4,2020,54.68880344
2021,4,2020,67.77280191
2021,4,2020,69.70407239
2021,4,2020,71.80116614
2021,4,2020,64.07644285
2021,4,2020,56.03511436
2021,4,2020,110.406478
2021,4,2020,52.07447338
2021,4,2020,71.42010367
2021,4,2020,100.4286329
2021,4,2020,53.9566719
2021,4,2020,72.9915886
2021,4,2020,62.03748179
2021,4,2020,101.4476668
2021,4,2020,38.88087786
