year,wYear,vol
2012,2011,8.92738
2012,2011,8.05187
2012,2011,6.79801
2012,2011,7.53895
2012,2011,7.78328
2012,2011,4.84824
2012,2011,7.23973
2012,2011,4.18251
2012,2011,9.61075
2012,2011,9.27909
2012,2011,8.43739
2012,2011,9.01699
2012,2011,8.65897
2012,2011,5.51154
2012,2011,8.91502
2012,2011,8.03305
2012,2011,8.52223
2012,2011,9.37057
2012,2011,7.63091
2012,2011,7.29139
2013,2012,72.12880
2013,2012,46.60961
2013,2012,50.78963
2013,2012,56.32278
2013,2012,66.64315
2013,2012,52.40751
2013,2012,40.21067
2013,2012,48.72168
2013,2012,30.90597
2013,2012,71.58631
2013,2012,42.91598
2013,2012,66.32330
2013,2012,48.96090
2013,2012,50.85374
2013,2012,48.54480
2013,2012,67.38713
2013,2012,49.26295
2013,2012,62.41080
2013,2012,33.97615
2013,2012,31.08913
2014,2013,25.50201
2014,2013,11.34909
2014,2013,13.32030
2014,2013,16.85039
2014,2013,19.68236
2014,2013,11.51912
2014,2013,21.72851
2014,2013,14.42476
2014,2013,14.63159
2014,2013,17.31812
2014,2013,20.70227
2014,2013,17.97210
2014,2013,19.08592
2014,2013,14.63966
2014,2013,20.41406
2014,2013,11.03450
2014,2013,12.50946
2014,2013,14.11608
2014,2013,13.81029
2014,2013,18.89646
2015,2014,19.06458
2015,2014,16.00942
2015,2014,29.44604
2015,2014,21.54076
2015,2014,18.72905
2015,2014,17.05029
2015,2014,19.09248
2015,2014,19.49304
2015,2014,26.80317
2015,2014,25.26340
2015,2014,25.88676
2015,2014,22.43291
2015,2014,19.86150
2015,2014,13.94761
2015,2014,20.42488
2015,2014,17.05540
2015,2014,18.51192
2015,2014,17.95951
2015,2014,20.99496
2015,2014,13.35390
2017,2016,13.48702
2017,2016,8.95620
2017,2016,14.83010
2017,2016,13.09165
2017,2016,10.62495
2017,2016,13.03678
2017,2016,15.28847
2017,2016,14.51995
2017,2016,17.76969
2017,2016,15.42760
2017,2016,16.88068
2017,2016,16.95634
2017,2016,13.37516
2017,2016,16.50343
2017,2016,17.42373
2017,2016,13.29876
2017,2016,9.49221
2017,2016,13.08221
2017,2016,12.93768
2017,2016,11.02162
2018,2017,16.71967
2018,2017,19.57232
2018,2017,19.11466
2018,2017,14.41493
2018,2017,16.93653
2018,2017,18.97694
2018,2017,13.05559
2018,2017,11.12644
2018,2017,16.03196
2018,2017,19.85365
2018,2017,21.87768
2018,2017,15.27049
2018,2017,19.44094
2018,2017,21.04410
2018,2017,20.04607
2018,2017,16.82690
2018,2017,16.81609
2018,2017,13.51291
2018,2017,16.54956
2018,2017,11.79297
2019,2018,15.40744
2019,2018,28.34991
2019,2018,14.14806
2019,2018,13.91036
2019,2018,16.38857
2019,2018,18.17815
2019,2018,24.49715
2019,2018,21.04465
2019,2018,18.34972
2019,2018,26.30071
2019,2018,26.73258
2019,2018,19.34159
2019,2018,22.94402
2019,2018,38.13529
2019,2018,23.57178
2019,2018,25.98124
2019,2018,16.35628
2019,2018,21.94504
2019,2018,14.21170
2019,2018,23.13746
2020,2019,30.91938
2020,2019,24.46931
2020,2019,32.36873
2020,2019,20.81551
2020,2019,26.86261
2020,2019,35.76761
2020,2019,25.69311
2020,2019,22.14873
2020,2019,13.14662
2020,2019,16.26910
2020,2019,25.90173
2020,2019,24.09397
2020,2019,22.33589
2020,2019,31.17703
2020,2019,22.94040
2020,2019,34.70599
2020,2019,28.13150
2020,2019,26.68281
2020,2019,20.24598
2020,2019,16.75628
2021,2020,19.17756
2021,2020,17.47878
2021,2020,17.13868
2021,2020,12.59015
2021,2020,18.63024
2021,2020,21.95367
2021,2020,20.35420
2021,2020,21.14312
2021,2020,35.73998
2021,2020,21.70254
2021,2020,13.46352
2021,2020,15.65698
2021,2020,16.70180
2021,2020,10.94292
2021,2020,12.42783
2021,2020,17.57819
2021,2020,27.80360
2021,2020,16.68785
2021,2020,20.31115
2021,2020,13.06487
