year,ID,source,mean
2011,1,Estuarine,0.842
2011,1,Freshwater,0.098
2011,1,Seagrass,0.06
2011,2,Estuarine,0.278
2011,2,Freshwater,0.237
2011,2,Seagrass,0.484
2011,3,Estuarine,0.081
2011,3,Freshwater,0.877
2011,3,Seagrass,0.043
2011,4,Estuarine,0.964
2011,4,Freshwater,0.031
2011,4,Seagrass,0.005
2011,5,Estuarine,0.404
2011,5,Freshwater,0.104
2011,5,Seagrass,0.492
2011,6,Estuarine,0.021
2011,6,Freshwater,0.972
2011,6,Seagrass,0.007
2011,7,Estuarine,0.164
2011,7,Freshwater,0.809
2011,7,Seagrass,0.027
2011,8,Estuarine,0.89
2011,8,Freshwater,0.098
2011,8,Seagrass,0.011
2011,9,Estuarine,0.012
2011,9,Freshwater,0.984
2011,9,Seagrass,0.004
2011,10,Estuarine,0.041
2011,10,Freshwater,0.905
2011,10,Seagrass,0.054
2011,11,Estuarine,0.033
2011,11,Freshwater,0.958
2011,11,Seagrass,0.009
2011,12,Estuarine,0.02
2011,12,Freshwater,0.976
2011,12,Seagrass,0.004
2012,13,Estuarine,0.047
2012,13,Freshwater,0.856
2012,13,Seagrass,0.098
2012,14,Estuarine,0.005
2012,14,Freshwater,0.993
2012,14,Seagrass,0.002
2012,15,Estuarine,0.008
2012,15,Freshwater,0.988
2012,15,Seagrass,0.004
2012,16,Estuarine,0.008
2012,16,Freshwater,0.988
2012,16,Seagrass,0.004
2012,17,Estuarine,0.008
2012,17,Freshwater,0.989
2012,17,Seagrass,0.003
2012,18,Estuarine,0.01
2012,18,Freshwater,0.986
2012,18,Seagrass,0.004
2012,19,Estuarine,0.029
2012,19,Freshwater,0.959
2012,19,Seagrass,0.012
2013,20,Estuarine,0.384
2013,20,Freshwater,0.595
2013,20,Seagrass,0.021
2013,21,Estuarine,0.882
2013,21,Freshwater,0.097
2013,21,Seagrass,0.021
2013,22,Estuarine,0.267
2013,22,Freshwater,0.177
2013,22,Seagrass,0.556
2013,23,Estuarine,0.869
2013,23,Freshwater,0.095
2013,23,Seagrass,0.036
2013,24,Estuarine,0.434
2013,24,Freshwater,0.519
2013,24,Seagrass,0.047
2013,25,Estuarine,0.06
2013,25,Freshwater,0.908
2013,25,Seagrass,0.032
2013,26,Estuarine,0.069
2013,26,Freshwater,0.685
2013,26,Seagrass,0.246
2013,27,Estuarine,0.018
2013,27,Freshwater,0.977
2013,27,Seagrass,0.006
2013,28,Estuarine,0.164
2013,28,Freshwater,0.738
2013,28,Seagrass,0.098
2013,29,Estuarine,0.058
2013,29,Freshwater,0.908
2013,29,Seagrass,0.034
2013,30,Estuarine,0.214
2013,30,Freshwater,0.758
2013,30,Seagrass,0.028
2014,31,Estuarine,0.035
2014,31,Freshwater,0.952
2014,31,Seagrass,0.013
2014,32,Estuarine,0.032
2014,32,Freshwater,0.961
2014,32,Seagrass,0.007
2014,33,Estuarine,0.034
2014,33,Freshwater,0.96
2014,33,Seagrass,0.006
2014,34,Estuarine,0.015
2014,34,Freshwater,0.98
2014,34,Seagrass,0.005
2014,35,Estuarine,0.016
2014,35,Freshwater,0.979
2014,35,Seagrass,0.005
2014,41,Estuarine,0.021
2014,41,Freshwater,0.973
2014,41,Seagrass,0.007
2014,42,Estuarine,0.173
2014,42,Freshwater,0.158
2014,42,Seagrass,0.669
2014,43,Estuarine,0.022
2014,43,Freshwater,0.972
2014,43,Seagrass,0.007
2014,44,Estuarine,0.02
2014,44,Freshwater,0.962
2014,44,Seagrass,0.018
2014,45,Estuarine,0.031
2014,45,Freshwater,0.95
2014,45,Seagrass,0.018
2014,46,Estuarine,0.026
2014,46,Freshwater,0.959
2014,46,Seagrass,0.015
2014,47,Estuarine,0.052
2014,47,Freshwater,0.923
2014,47,Seagrass,0.025
2014,48,Estuarine,0.014
2014,48,Freshwater,0.981
2014,48,Seagrass,0.005
2014,49,Estuarine,0.084
2014,49,Freshwater,0.872
2014,49,Seagrass,0.044
2014,50,Estuarine,0.022
2014,50,Freshwater,0.969
2014,50,Seagrass,0.009
2014,51,Estuarine,0.767
2014,51,Freshwater,0.206
2014,51,Seagrass,0.027
2014,52,Estuarine,0.258
2014,52,Freshwater,0.684
2014,52,Seagrass,0.058
2016,53,Estuarine,0.022
2016,53,Freshwater,0.974
2016,53,Seagrass,0.004
2016,54,Estuarine,0.015
2016,54,Freshwater,0.982
2016,54,Seagrass,0.003
2016,55,Estuarine,0.038
2016,55,Freshwater,0.946
2016,55,Seagrass,0.016
2016,56,Estuarine,0.888
2016,56,Freshwater,0.097
2016,56,Seagrass,0.015
2016,57,Estuarine,0.016
2016,57,Freshwater,0.98
2016,57,Seagrass,0.003
2016,58,Estuarine,0.036
2016,58,Freshwater,0.954
2016,58,Seagrass,0.01
2016,59,Estuarine,0.026
2016,59,Freshwater,0.968
2016,59,Seagrass,0.006
2016,60,Estuarine,0.028
2016,60,Freshwater,0.966
2016,60,Seagrass,0.006
2017,61,Estuarine,0.088
2017,61,Freshwater,0.902
2017,61,Seagrass,0.01
2017,62,Estuarine,0.113
2017,62,Freshwater,0.876
2017,62,Seagrass,0.011
2017,63,Estuarine,0.046
2017,63,Freshwater,0.945
2017,63,Seagrass,0.01
2017,64,Estuarine,0.05
2017,64,Freshwater,0.941
2017,64,Seagrass,0.009
2017,65,Estuarine,0.035
2017,65,Freshwater,0.96
2017,65,Seagrass,0.005
2017,66,Estuarine,0.022
2017,66,Freshwater,0.974
2017,66,Seagrass,0.004
2017,67,Estuarine,0.907
2017,67,Freshwater,0.084
2017,67,Seagrass,0.009
2017,68,Estuarine,0.854
2017,68,Freshwater,0.137
2017,68,Seagrass,0.008
2017,69,Estuarine,0.769
2017,69,Freshwater,0.123
2017,69,Seagrass,0.108
2017,70,Estuarine,0.036
2017,70,Freshwater,0.947
2017,70,Seagrass,0.016
2017,71,Estuarine,0.018
2017,71,Freshwater,0.978
2017,71,Seagrass,0.004
2017,72,Estuarine,0.017
2017,72,Freshwater,0.979
2017,72,Seagrass,0.004
2017,73,Estuarine,0.034
2017,73,Freshwater,0.96
2017,73,Seagrass,0.006
2017,74,Estuarine,0.023
2017,74,Freshwater,0.969
2017,74,Seagrass,0.008
2018,75,Estuarine,0.894
2018,75,Freshwater,0.094
2018,75,Seagrass,0.012
2018,76,Estuarine,0.388
2018,76,Freshwater,0.588
2018,76,Seagrass,0.024
2018,77,Estuarine,0.017
2018,77,Freshwater,0.979
2018,77,Seagrass,0.004
2018,78,Estuarine,0.052
2018,78,Freshwater,0.939
2018,78,Seagrass,0.009
2018,79,Estuarine,0.034
2018,79,Freshwater,0.955
2018,79,Seagrass,0.011
2018,80,Estuarine,0.064
2018,80,Freshwater,0.918
2018,80,Seagrass,0.018
2018,81,Estuarine,0.036
2018,81,Freshwater,0.954
2018,81,Seagrass,0.01
2018,82,Estuarine,0.342
2018,82,Freshwater,0.586
2018,82,Seagrass,0.073
2018,83,Estuarine,0.038
2018,83,Freshwater,0.952
2018,83,Seagrass,0.01
2018,84,Estuarine,0.583
2018,84,Freshwater,0.39
2018,84,Seagrass,0.027
2018,85,Estuarine,0.056
2018,85,Freshwater,0.932
2018,85,Seagrass,0.011
2018,86,Estuarine,0.408
2018,86,Freshwater,0.574
2018,86,Seagrass,0.019
2018,87,Estuarine,0.055
2018,87,Freshwater,0.937
2018,87,Seagrass,0.008
2018,88,Estuarine,0.123
2018,88,Freshwater,0.867
2018,88,Seagrass,0.01
2019,89,Estuarine,0.123
2019,89,Freshwater,0.824
2019,89,Seagrass,0.053
2019,90,Estuarine,0.028
2019,90,Freshwater,0.965
2019,90,Seagrass,0.008
2019,91,Estuarine,0.072
2019,91,Freshwater,0.913
2019,91,Seagrass,0.015
