Species,baddate,Date,Month,Year,d13C,d15N,d34S,N_per,C_per,S_per,fMonth,fYear,ID
Common Snook,2012-02-13,2012-02-13,Feb,2012,-22.7,12.66,7.22,6.99,24.32,0.444,Feb,2012,1
Common Snook,2012-02-13,2012-02-13,Feb,2012,-19.19,12.91,10.42,7.49,26.3,0.499,Feb,2012,2
Common Snook,2012-03-05,2012-03-05,Mar,2012,-27.22,10.25,0.29,8.58,28.78,0.35,Mar,2012,3
Common Snook,2012-03-05,2012-03-05,Mar,2012,-18.58,12.48,7.87,8.58,26.55,0.414,Mar,2012,4
Common Snook,2012-03-19,2012-03-19,Mar,2012,-26.79,12.74,23.82,7.23,24.44,0.442,Mar,2012,5
Common Snook,2012-03-19,2012-03-19,Mar,2012,-25.79,11.33,17.4,10.12,33.11,0.582,Mar,2012,6
Common Snook,2012-03-24,2012-03-24,Mar,2012,-25.46,10.22,7.07,8.5,28.69,0.5,Mar,2012,7
Common Snook,2012-04-13,2012-04-13,Apr,2012,-27.48,13,25.95,7.41,25.18,0.473,Apr,2012,8
Common Snook,2012-04-14,2012-04-14,Apr,2012,-25.15,13.19,21.86,9.33,29.78,0.574,Apr,2012,9
Common Snook,2012-04-14,2012-04-14,Apr,2012,-26.66,12.61,21.51,9.57,30.78,0.472,Apr,2012,10
Common Snook,2012-04-15,2012-04-15,Apr,2012,-27.91,12.55,20.39,9.72,33.1,2.048,Apr,2012,11
Common Snook,2012-05-05,2012-05-05,May,2012,-24.69,13.67,19.4,8.72,28.15,0.5,May,2012,12
Common Snook,2012-05-05,2012-05-05,May,2012,-28,11.24,29.08,9.89,34.77,0.539,May,2012,13
Common Snook,2012-05-05,2012-05-05,May,2012,-27.05,12.58,26.65,8.16,27.69,0.53,May,2012,14
Common Snook,2012-06-26,2012-06-26,Jun,2012,-27.33,12.82,25.35,7.78,26.79,0.431,Jun,2012,15
Common Snook,2012-06-26,2012-06-26,Jun,2012,-27.16,12.84,26.57,9.25,30.19,0.48,Jun,2012,16
Common Snook,2013-02-23,2013-02-23,Feb,2013,-27.18,12.11,25.33,9.74,33.62,0.485,Feb,2013,17
Common Snook,2013-06-26,2013-06-26,Jun,2013,-25.75,12.66,13.51,8.33,27.59,0.456,Jun,2013,18
Common Snook,2013-06-27,2013-06-27,Jun,2013,-24.55,12.05,5.96,8.44,26.8,0.404,Jun,2013,19
Common Snook,2014-02-24,2014-02-24,Feb,2014,-18.25,13.05,9.8,8.52,27.24,0.528,Feb,2014,20
Common Snook,2014-03-04,2014-03-04,Mar,2014,-23.68,11.18,6.97,8.26,27.19,0.471,Mar,2014,21
Common Snook,2014-04-27,2014-04-27,Apr,2014,-24.84,11.97,14.03,7.83,26.49,0.471,Apr,2014,22
Common Snook,2014-04-27,2014-04-27,Apr,2014,-25.72,12.01,21.46,7.43,25.37,0.429,Apr,2014,23
Common Snook,2014-04-27,2014-04-27,Apr,2014,-23.06,12.07,18.5,7.87,25.65,0.462,Apr,2014,24
Common Snook,2014-05-05,2014-05-05,May,2014,-27.35,11.5,24.13,9.39,32.68,0.354,May,2014,25
Common Snook,2014-05-31,2014-05-31,May,2014,-24.7,12.33,17.67,8.63,27.17,0.53,May,2014,26
Common Snook,2014-05-31,2014-05-31,May,2014,-25.63,12.52,21.37,7.79,24.32,0.358,May,2014,27
Common Snook,2014-05-31,2014-05-31,May,2014,-25.74,12.34,16.48,7.99,25.47,0.352,May,2014,28
Common Snook,2014-07-09,2014-07-09,Jul,2014,-25.87,13.06,23.31,6.7,22.69,0.297,Jul,2014,29
Common Snook,2014-07-09,2014-07-09,Jul,2014,-25.96,12.29,21.42,7.09,24.24,0.328,Jul,2014,30
Common Snook,2015-03-04,2015-03-04,Mar,2015,-26.85,12.28,22.3,7.5,25.81,0.416,Mar,2015,31
Common Snook,2015-03-07,2015-03-07,Mar,2015,-17.01,13.09,8.67,8.04,25.74,0.443,Mar,2015,32
Common Snook,2015-04-11,2015-04-11,Apr,2015,-26.83,11.71,22,9.21,31.52,0.49,Apr,2015,33
Common Snook,2015-04-12,2015-04-12,Apr,2015,-25.77,13.31,23.74,6.16,21.19,0.335,Apr,2015,34
Common Snook,2015-04-12,2015-04-12,Apr,2015,-25.96,12.37,21.96,7.32,22.97,0.303,Apr,2015,35
Common Snook,2015-04-12,2015-04-12,Apr,2015,-26.04,12.07,22.82,7.59,25.2,0.358,Apr,2015,36
Common Snook,2015-04-12,2015-04-12,Apr,2015,-25.82,11.97,20.45,6.2,20.82,0.259,Apr,2015,37
Common Snook,2015-04-13,2015-04-13,Apr,2015,-27.03,12.71,23.86,9.11,30.17,0.577,Apr,2015,38
Common Snook,2015-04-13,2015-04-13,Apr,2015,-25.44,12.3,19.3,7.49,23.97,0.328,Apr,2015,39
