name,type,source,mean,sd,lowend,highend
1,2011,Estuarine,0.86,0.12,0.572,0.996
1,2011,Freshwater,0.091,0.082,0.001,0.256
1,2011,Seagrass,0.049,0.071,0,0.206
2,2011,Estuarine,0.287,0.183,0.002,0.585
2,2011,Freshwater,0.231,0.128,0.011,0.443
2,2011,Seagrass,0.481,0.087,0.282,0.592
3,2011,Estuarine,0.079,0.095,0,0.282
3,2011,Freshwater,0.885,0.097,0.664,0.999
3,2011,Seagrass,0.036,0.042,0,0.12
4,2011,Estuarine,0.967,0.036,0.862,0.999
4,2011,Freshwater,0.028,0.034,0,0.099
4,2011,Seagrass,0.004,0.009,0,0.021
5,2011,Estuarine,0.411,0.142,0.08,0.61
5,2011,Freshwater,0.099,0.086,0.001,0.275
5,2011,Seagrass,0.49,0.089,0.302,0.613
6,2011,Estuarine,0.018,0.03,0,0.083
6,2011,Freshwater,0.976,0.033,0.878,1
6,2011,Seagrass,0.006,0.012,0,0.028
7,2011,Estuarine,0.158,0.142,0,0.407
7,2011,Freshwater,0.819,0.138,0.537,0.998
7,2011,Seagrass,0.023,0.033,0,0.094
8,2011,Estuarine,0.895,0.092,0.674,0.997
8,2011,Freshwater,0.096,0.089,0.001,0.27
8,2011,Seagrass,0.009,0.019,0,0.047
9,2011,Estuarine,0.01,0.018,0,0.047
9,2011,Freshwater,0.987,0.02,0.928,1
9,2011,Seagrass,0.003,0.006,0,0.015
10,2011,Estuarine,0.039,0.057,0,0.164
10,2011,Freshwater,0.913,0.071,0.757,0.999
10,2011,Seagrass,0.048,0.05,0,0.139
11,2011,Estuarine,0.03,0.047,0,0.139
11,2011,Freshwater,0.962,0.05,0.821,1
11,2011,Seagrass,0.007,0.015,0,0.038
12,2011,Estuarine,0.018,0.033,0,0.085
12,2011,Freshwater,0.979,0.034,0.877,1
12,2011,Seagrass,0.003,0.006,0,0.015
13,2011,Estuarine,0.06,0.084,0,0.233
13,2011,Freshwater,0.847,0.087,0.655,0.994
13,2011,Seagrass,0.093,0.061,0,0.186
14,2011,Estuarine,0.007,0.012,0,0.03
14,2011,Freshwater,0.991,0.013,0.952,1
14,2011,Seagrass,0.002,0.005,0,0.012
15,2011,Estuarine,0.011,0.019,0,0.048
15,2011,Freshwater,0.986,0.021,0.925,1
15,2011,Seagrass,0.004,0.008,0,0.019
16,2011,Estuarine,0.012,0.022,0,0.055
16,2011,Freshwater,0.984,0.023,0.917,1
16,2011,Seagrass,0.004,0.007,0,0.018
17,2011,Estuarine,0.011,0.019,0,0.05
17,2011,Freshwater,0.986,0.022,0.923,1
17,2011,Seagrass,0.004,0.008,0,0.018
18,2012,Estuarine,0.014,0.024,0,0.065
18,2012,Freshwater,0.982,0.026,0.906,1
18,2012,Seagrass,0.003,0.008,0,0.019
19,2012,Estuarine,0.044,0.061,0,0.181
19,2012,Freshwater,0.945,0.064,0.771,1
19,2012,Seagrass,0.01,0.019,0,0.053
20,2012,Estuarine,0.396,0.182,0.003,0.674
20,2012,Freshwater,0.59,0.178,0.249,0.929
20,2012,Seagrass,0.013,0.022,0,0.066
21,2012,Estuarine,0.89,0.096,0.665,0.997
21,2012,Freshwater,0.097,0.09,0.001,0.275
21,2012,Seagrass,0.013,0.027,0,0.066
22,2013,Estuarine,0.225,0.16,0.001,0.484
22,2013,Freshwater,0.208,0.117,0.009,0.394
22,2013,Seagrass,0.567,0.071,0.417,0.671
23,2013,Estuarine,0.865,0.104,0.623,0.995
23,2013,Freshwater,0.104,0.087,0.001,0.268
23,2013,Seagrass,0.031,0.047,0,0.136
24,2013,Estuarine,0.417,0.187,0.008,0.702
24,2013,Freshwater,0.539,0.162,0.213,0.82
24,2013,Seagrass,0.044,0.05,0,0.148
25,2013,Estuarine,0.04,0.061,0,0.175
25,2013,Freshwater,0.934,0.069,0.756,1
25,2013,Seagrass,0.026,0.034,0,0.1
26,2013,Estuarine,0.054,0.075,0,0.195
26,2013,Freshwater,0.701,0.066,0.543,0.791
26,2013,Seagrass,0.245,0.048,0.146,0.317
27,2013,Estuarine,0.012,0.024,0,0.056
27,2013,Freshwater,0.984,0.026,0.914,1
27,2013,Seagrass,0.004,0.009,0,0.021
28,2013,Estuarine,0.14,0.143,0,0.418
28,2013,Freshwater,0.764,0.118,0.512,0.933
28,2013,Seagrass,0.096,0.063,0,0.195
29,2013,Estuarine,0.04,0.061,0,0.177
29,2013,Freshwater,0.933,0.069,0.75,1
29,2013,Seagrass,0.027,0.036,0,0.105
30,2013,Estuarine,0.176,0.151,0,0.436
30,2013,Freshwater,0.798,0.145,0.504,0.998
30,2013,Seagrass,0.026,0.035,0,0.099
31,2013,Estuarine,0.035,0.058,0,0.163
31,2013,Freshwater,0.952,0.062,0.778,1
31,2013,Seagrass,0.012,0.021,0,0.059
32,2013,Estuarine,0.032,0.056,0,0.157
32,2013,Freshwater,0.961,0.058,0.786,1
32,2013,Seagrass,0.007,0.013,0,0.033
33,2013,Estuarine,0.032,0.058,0,0.157
33,2013,Freshwater,0.962,0.06,0.776,1
33,2013,Seagrass,0.005,0.011,0,0.029
34,2013,Estuarine,0.016,0.031,0,0.084
34,2013,Freshwater,0.979,0.033,0.881,1
34,2013,Seagrass,0.005,0.009,0,0.024
35,2013,Estuarine,0.016,0.03,0,0.076
35,2013,Freshwater,0.98,0.032,0.884,1
35,2013,Seagrass,0.005,0.009,0,0.025
36,2013,Estuarine,0.039,0.061,0,0.171
36,2013,Freshwater,0.947,0.065,0.769,1
36,2013,Seagrass,0.014,0.024,0,0.069
37,2013,Estuarine,0.019,0.034,0,0.093
37,2013,Freshwater,0.973,0.039,0.862,1
37,2013,Seagrass,0.008,0.016,0,0.045
38,2013,Estuarine,0.021,0.038,0,0.104
38,2013,Freshwater,0.964,0.047,0.837,1
38,2013,Seagrass,0.015,0.026,0,0.076
39,2013,Estuarine,0.036,0.058,0,0.168
39,2013,Freshwater,0.946,0.064,0.773,1
39,2013,Seagrass,0.018,0.028,0,0.084
40,2013,Estuarine,0.1,0.113,0,0.326
