"","ID","Year","Total.Det","Total.Yr.Month"
"1","18349",2016,27308,8
"2","18349",2017,5506,2
"3","18351",2016,8,1
"4","18351",2017,6881,6
"5","18351",2018,7724,5
"6","18355",2016,58,2
"7","18355",2017,115,4
"8","18355",2018,18,1
"9","18358",2016,782,1
"10","18358",2017,2,1
"11","18358",2018,226,8
"12","18358",2019,131,11
"13","18358",2020,59,3
"14","18358",2021,120,3
"15","18358",2022,216,10
"16","18358",2023,11,1
"17","18367",2016,57727,8
"18","18367",2017,33341,12
"19","18367",2018,636,4
"20","18367",2019,8,3
"21","18367",2020,3,3
"22","18367",2021,1,1
"23","18370",2017,6465,7
"24","18372",2017,1967,3
"25","18372",2018,9585,11
"26","18372",2019,2,2
"27","18372",2020,6,1
"28","18373",2017,5040,8
"29","18378",2018,35477,9
"30","18378",2019,22636,7
"31","18379",2017,8763,6
"32","18382",2017,1206,6
"33","18382",2018,11,3
"34","18382",2019,44,2
"35","18383",2018,27270,11
"36","18383",2019,25039,12
"37","18383",2020,9262,11
"38","18383",2021,3576,11
"39","20049",2019,27446,9
"40","20049",2020,14276,6
"41","20053",2019,3340,3
"42","20053",2020,8898,8
"43","20056",2019,1585,3
"44","20056",2020,82,3
"45","20056",2022,179,1
"46","20057",2019,2105,4
"47","20057",2020,12552,11
"48","21959",2017,4086,8
"49","21959",2018,16,5
"50","21960",2017,5254,7
"51","21960",2018,5,1
"52","21968",2015,2261,1
"53","21968",2016,15188,12
"54","21968",2017,3345,7
"55","21969",2017,1076,6
"56","21969",2018,6026,5
"57","21970",2016,19124,8
"58","21970",2017,14096,9
"59","21970",2018,1,1
"60","21971",2016,10759,12
"61","21971",2017,4574,6
"62","21973",2017,4994,3
"63","21973",2018,29603,12
"64","21973",2019,8514,5
"65","22177",2015,1207,7
"66","22180",2015,6186,9
"67","22180",2016,776,3
"68","22568",2019,13635,10
"69","22568",2020,17057,5
"70","22569",2019,44182,11
"71","22569",2021,11021,6
"72","22569",2022,1141,4
"73","22572",2019,3806,4
"74","22576",2019,22128,11
"75","22576",2020,1308,3
"76","22577",2019,7076,9
"77","22577",2020,11703,10
"78","22577",2021,35,2
"79","22578",2019,6745,10
"80","22578",2020,411,4
"81","22578",2021,1643,7
"82","22578",2022,5,1
"83","23079",2015,9723,6
"84","23080",2015,2254,7
"85","23080",2016,173,10
"86","23080",2017,427,5
"87","23081",2015,890,7
"88","23082",2015,39682,8
"89","23082",2016,7612,5
"90","23082",2017,17476,9
"91","23082",2018,25029,12
"92","23082",2019,15184,12
"93","23082",2020,5648,6
"94","23082",2021,1,1
"95","23082",2022,78312,12
"96","23082",2023,1005,7
"97","23084",2015,4425,5
"98","23085",2015,6620,4
"99","23085",2016,4787,9
"100","23085",2017,7498,6
"101","23086",2015,289,3
"102","23086",2016,1541,6
"103","23087",2015,3622,9
"104","23087",2016,1660,12
"105","23087",2017,411,5
"106","23090",2015,133654,10
"107","23090",2016,31183,12
"108","23090",2017,31691,12
"109","23090",2018,31839,12
"110","23090",2019,31757,12
"111","23090",2020,16368,7
"112","23090",2021,6264,6
"113","23090",2022,28443,3
"114","23091",2015,2936,8
"115","23091",2016,421,3
"116","25076",2014,4734,6
"117","25076",2015,7962,11
"118","25077",2014,20341,9
"119","25077",2015,5278,4
"120","25078",2014,3229,5
"121","25078",2015,14285,4
"122","25079",2014,1588,1
"123","25079",2015,4714,9
"124","25079",2016,8165,10
"125","25079",2017,670,1
"126","25080",2014,10247,7
"127","25080",2015,9569,6
"128","25081",2014,19776,7
"129","25081",2015,18350,10
"130","25081",2016,95,2
"131","25082",2014,6622,3
