common_name,species_name,sample_ID,Batch_ID,season,Date,Date_c,Month,Year,site,TL_cm,SL_cm,Weight_kg,d13C,d15N,d34S,N%,C%,S%,Count,,
Common Snook,Centropomus undecimalis,58412,191210_Massie(34S)+EA7,,2012-04-15,2012-04-15,Apr,2012,N 512770 E2815881,66,54.5,2.219,-27.91,12.55,20.39,9.72,33.1,2.048,1,,
Common Snook,Centropomus undecimalis,58419,191210_Massie(34S)+EA7,,2012-05-05,2012-05-05,May,2012,N 513032 E 2815937,72.5,60,TOO BIG,-27.05,12.58,26.65,8.16,27.69,0.53,1,,
Common Snook,Centropomus undecimalis,51324,191210_Massie(34S)+EA7,,2012-04-14,2012-04-14,Apr,2012,N 513067 E 2815974,81.5,67.5,3.768,-25.15,13.19,21.86,9.33,29.78,0.574,1,,
Common Snook,Centropomus undecimalis,16MAY2020-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2020-05-16,2020-05-16,May,2020,RB10B1,,,,-26.56,11.76,20.98,5.86,18.94,0.25,1,,
Common Snook,Centropomus undecimalis,22FEB2020-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2020-02-22,2020-02-22,Feb,2020,RB10B1,,,,-26.28,11.37,22.16,6.68,20.36,0.29,1,,
Common Snook,Centropomus undecimalis,25088,191210_Massie(34S)+EA7,,2014-07-09,2014-07-09,Jul,2014,RB10B1,68,57.5,2.253,-25.87,13.06,23.31,6.7,22.69,0.297,1,,
Common Snook,Centropomus undecimalis,28APR2019-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2019-04-28,2019-04-28,Apr,2019,RB10B1,,,,-26.94,11.72,19.72,7.68,25.37,0.32,1,,
Common Snook,Centropomus undecimalis,22FEB2020-SI-50-1,220204_Massie(34S) & 220209_Massie(CN),,2020-02-22,2020-02-22,Feb,2020,RB10B1,,,,-26.25,12.16,21.44,4.93,15.93,0.32,1,,
Common Snook,Centropomus undecimalis,28APR2019-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2019-04-28,2019-04-28,Apr,2019,RB10B1,,,,-26.31,11.19,20.78,5.32,16.98,0.32,1,,
Common Snook,Centropomus undecimalis,25090,191210_Massie(34S)+EA7,,2014-07-09,2014-07-09,Jul,2014,RB10B1,73,62,3.089,-25.96,12.29,21.42,7.09,24.24,0.328,1,,
Common Snook,Centropomus undecimalis,23082,191210_Massie(34S)+EA7,,2015-04-12,2015-04-12,Apr,2015,RB10B1,72.4,60.8,2.679,-25.77,13.31,23.74,6.16,21.19,0.335,1,,
Common Snook,Centropomus undecimalis,16MAY2020-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2020-05-16,2020-05-16,May,2020,RB10B1,,,,-25.94,12.65,19.68,8.75,27.71,0.34,1,,
Common Snook,Centropomus undecimalis,26145,191210_Massie(34S)+EA7,,2018-04-28,2018-04-28,Apr,2018,RB10B1,68.9,60,2.98,-27.11,11.95,24.35,7.54,25.01,0.352,1,,
Common Snook,Centropomus undecimalis,25083,191210_Massie(34S)+EA7,,2014-05-05,2014-05-05,May,2014,RB10B1,71.6,59.9,3.482,-27.35,11.5,24.13,9.39,32.68,0.354,1,,
Common Snook,Centropomus undecimalis,18372,191210_Massie(34S)+EA7,,2017-05-31,2017-05-31,May,2017,RB10B1,69.8,58.5,2.663,-26.37,12.56,17.34,7.1,22.99,0.357,1,,
Common Snook,Centropomus undecimalis,26140,191210_Massie(34S)+EA7,,2018-04-28,2018-04-28,Apr,2018,RB10B1,78,68.5,4.031,-25.81,12.02,23.01,7.06,23.54,0.359,1,,
Common Snook,Centropomus undecimalis,28APR2019-AT-50-3,220204_Massie(34S) & 220209_Massie(CN),,2019-04-28,2019-04-28,Apr,2019,RB10B1,,,,-26.21,10.52,18.4,6.7,21.59,0.36,1,,
Common Snook,Centropomus undecimalis,16APR-2021-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2021-04-16,2021-04-16,Apr,2021,RB10B1,,,,-26.28,11.38,22.33,3.8,12.44,0.36,1,,
Common Snook,Centropomus undecimalis,51644,191210_Massie(34S)+EA7,,2016-12-13,2016-12-13,Dec,2016,RB10B1,61.4,50.5,1.869,-28.4,11.74,21.54,8.85,31.36,0.366,1,,
Common Snook,Centropomus undecimalis,21969,191210_Massie(34S)+EA7,,2017-05-31,2017-05-31,May,2017,RB10B1,66,54.5,2.275,-26.31,13.36,19.86,7.09,22.67,0.372,1,,
Common Snook,Centropomus undecimalis,16APR2021-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2021-04-16,2021-04-16,Apr,2021,RB10B1,,,,-26.45,11.68,18.59,6.53,20.39,0.38,1,,
Common Snook,Centropomus undecimalis,19MAR2021-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2021-03-19,2021-03-19,Mar,2021,RB10B1,,,,-25.28,11.17,18.56,7.8,24.45,0.38,1,,
Common Snook,Centropomus undecimalis,26142,191210_Massie(34S)+EA7,,2018-05-16,2018-05-16,May,2018,RB10B1,71.5,61.5,3.025,-26.2,11.43,22.7,7.49,24.85,0.386,1,,
Common Snook,Centropomus undecimalis,28MAY2019-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2019-05-28,2019-05-28,May,2019,RB10B1,,,,-26.28,11.85,20.58,5.54,17.47,0.39,1,,
Common Snook,Centropomus undecimalis,16MAY2020-AT-50-3,220204_Massie(34S) & 220209_Massie(CN),,2020-05-16,2020-05-16,May,2020,RB10B1,,,,-25.95,11.86,18.21,4.54,14.67,0.39,1,,
Common Snook,Centropomus undecimalis,22JAN2019-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2019-01-22,2019-01-22,Jan,2019,RB10B1,,,,-27.37,11.41,22.14,7.65,26.14,0.42,1,,
Common Snook,Centropomus undecimalis,51311,191210_Massie(34S)+EA7,,2012-06-26,2012-06-26,Jun,2012,RB10B1,68,58,2.301,-27.33,12.82,25.35,7.78,26.79,0.431,1,,
Common Snook,Centropomus undecimalis,51653,191210_Massie(34S)+EA7,,2017-02-26,2017-02-26,Feb,2017,RB10B1,56.1,45.7,1.211,-28.1,12.66,20.43,7.88,26.32,0.45,1,,
Common Snook,Centropomus undecimalis,51308,191210_Massie(34S)+EA7,,2012-04-13,2012-04-13,Apr,2012,RB10B1,63,51.5,1.698,-27.48,13,25.95,7.41,25.18,0.473,1,,
Common Snook,Centropomus undecimalis,51652,191210_Massie(34S)+EA7,,2017-02-26,2017-02-26,Feb,2017,RB10B1,59.1,49.3,1.845,-27.4,12.29,21.02,7.57,25.2,0.523,1,,
Common Snook,Centropomus undecimalis,18373,191210_Massie(34S)+EA7,,2017-04-25,2017-04-25,Apr,2017,RB10B1,71.9,60.5,3.258,-26.81,12.84,21.16,8.55,29.18,0.526,1,,
Common Snook,Centropomus undecimalis,25078,191210_Massie(34S)+EA7,,2014-05-31,2014-05-31,May,2014,RB10B1,83.4,72,>5 kg,-24.7,12.33,17.67,8.63,27.17,0.53,1,,
Common Snook,Centropomus undecimalis,18379,191210_Massie(34S)+EA7,,2017-04-25,2017-04-25,Apr,2017,RB10B1,77.2,65.5,4.281,-26.89,12.38,21.22,8.55,28.87,0.566,1,,
Common Snook,Centropomus undecimalis,16MAY2020-AT-50-4,220204_Massie(34S) & 220209_Massie(CN),,2020-05-16,2020-05-16,May,2020,RB10B2,,,,-26.39,11.96,19.69,7.42,23.91,0.28,1,,
Common Snook,Centropomus undecimalis,18351,191210_Massie(34S)+EA7,,2017-05-31,2017-05-31,May,2017,RB10B2,68.6,58.2,2.357,-26.45,12.37,18.18,7.22,23.52,0.339,1,,
Common Snook,Centropomus undecimalis,28235,191210_Massie(34S)+EA7,,2018-04-28,2018-04-28,Apr,2018,RB10B2,68.9,59,2.772,-26.68,11.92,21.55,7.39,24.52,0.355,1,,
Common Snook,Centropomus undecimalis,28237,191210_Massie(34S)+EA7,,2018-03-13,2018-03-13,Mar,2018,RB10B2,76.3,63.2,3.557,-25.25,10.98,5.03,7.61,24.38,0.359,1,,
Common Snook,Centropomus undecimalis,22JAN2019-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2019-01-22,2019-01-22,Jan,2019,RB10B2,,,,-27.35,10.66,20.07,7.06,24.5,0.39,1,,
Common Snook,Centropomus undecimalis,28MAY2019-AT-50-2,220204_Massie(34S) & 220209_Massie(CN),,2019-05-28,2019-05-28,May,2019,RB10B2,,,,-26.48,12.43,23.35,8.27,26.05,0.4,1,,
Common Snook,Centropomus undecimalis,16MAY2020-AT-50-5,220204_Massie(34S) & 220209_Massie(CN),,2020-05-16,2020-05-16,May,2020,RB10B3,,,,-26.68,12.18,19.74,7.49,23.28,0.32,1,,
Common Snook,Centropomus undecimalis,22JAN2019-AT-50-3,220204_Massie(34S) & 220209_Massie(CN),,2019-01-22,2019-01-22,Jan,2019,RB10B3,,,,-27.25,11.5,22.66,5.09,17.21,0.35,1,,
Common Snook,Centropomus undecimalis,32893,191210_Massie(34S)+EA7,,2014-01-21,2014-01-21,Jan,2014,RB10B3,71.4,60,2.73,-25.9,12.73,22.58,8.3,27.29,0.458,1,,
Common Snook,Centropomus undecimalis,23091,191210_Massie(34S)+EA7,,2015-04-12,2015-04-12,Apr,2015,RB11B1,66.5,57,2.677,-25.82,11.97,20.45,6.2,20.82,0.259,1,,
Common Snook,Centropomus undecimalis,28243,191210_Massie(34S)+EA7,,2018-01-26,2018-01-26,Jan,2018,RB11B1,57.3,47.2,1.286,-27.13,11.58,22.51,7.1,24.08,0.363,1,,
Common Snook,Centropomus undecimalis,23088,191210_Massie(34S)+EA7,,2015-04-12,2015-04-12,Apr,2015,RB11B2,69.4,58.3,2.703,-26.04,12.07,22.82,7.59,25.2,0.358,1,,
Common Snook,Centropomus undecimalis,18383,191210_Massie(34S)+EA7,,2018-02-17,2018-02-17,Feb,2018,RB11B2,74.4,62,2.826,-26.43,11.78,20.45,7.22,23.89,0.402,1,,
Common Snook,Centropomus undecimalis,19JAN2020-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2020-01-19,2020-01-19,Jan,2020,RB11B3,,,,-26.03,11.51,19.06,5.86,18.28,0.27,1,,
Common Snook,Centropomus undecimalis,23087,191210_Massie(34S)+EA7,,2015-04-12,2015-04-12,Apr,2015,RB11B3,72.2,61,2.885,-25.96,12.37,21.96,7.32,22.97,0.303,1,,
Common Snook,Centropomus undecimalis,51645,191210_Massie(34S)+EA7,,2016-12-13,2016-12-13,Dec,2016,RB11B3,58.7,48.5,1.168,-27.06,11.89,21.23,6.68,22.16,0.343,1,,
Common Snook,Centropomus undecimalis,26133,191210_Massie(34S)+EA7,,2018-05-16,2018-05-16,May,2018,RB11B3,65.5,56.5,2.47,-27.05,10.95,24.99,7.07,23.58,0.372,1,,
Common Snook,Centropomus undecimalis,21959,191210_Massie(34S)+EA7,,2017-04-24,2017-04-24,Apr,2017,RB11B3,65.5,55,2.105,-27.36,11.98,23.16,8.15,27.35,0.498,1,,
Common Snook,Centropomus undecimalis,23083,191210_Massie(34S)+EA7,,2015-04-11,2015-04-11,Apr,2015,RB12B1,71.4,59.5,2.451,-26.83,11.71,22,9.21,31.52,0.49,1,,
Common Snook,Centropomus undecimalis,25082,191210_Massie(34S)+EA7,,2014-04-27,2014-04-27,Apr,2014,RB12B2,76,63.2,3.089,-23.06,12.07,18.5,7.87,25.65,0.462,1,,
Common Snook,Centropomus undecimalis,51877,191210_Massie(34S)+EA7,,2017-04-24,2017-04-24,Apr,2017,RB12B2,76.3,64.5,3.603,-26.31,12.06,21.48,8.4,28.32,0.623,1,,
Common Snook,Centropomus undecimalis,28231,191210_Massie(34S)+EA7,,2018-02-21,2018-02-21,Feb,2018,RB12B3,60.2,50.5,1.626,-27.07,10.91,19.88,7.03,23.61,0.388,1,,
Common Snook,Centropomus undecimalis,25079,191210_Massie(34S)+EA7,,2014-04-27,2014-04-27,Apr,2014,RB12B3,71.9,59.5,2.772,-25.72,12.01,21.46,7.43,25.37,0.429,1,,
Common Snook,Centropomus undecimalis,28232,191210_Massie(34S)+EA7,,2018-02-21,2018-02-21,Feb,2018,RB12B3,58.3,48.1,1.38,-27.32,10.65,21.45,7.69,26.39,0.462,1,,
Common Snook,Centropomus undecimalis,51322,191210_Massie(34S)+EA7,,2012-05-05,2012-05-05,May,2012,RB12B3,60.5,49,1.82,-28,11.24,29.08,9.89,34.77,0.539,1,,
Common Snook,Centropomus undecimalis,25080,191210_Massie(34S)+EA7,,2014-05-31,2014-05-31,May,2014,RB13B2,79.3,67.1,3.872,-25.63,12.52,21.37,7.79,24.32,0.358,1,,
Common Snook,Centropomus undecimalis,18370,191210_Massie(34S)+EA7,,2017-02-27,2017-02-27,Feb,2017,RB13B2,69.7,57.5,2.703,-25.91,11.03,21.69,7.12,23.99,0.563,1,,
Common Snook,Centropomus undecimalis,51310,191210_Massie(34S)+EA7,,2012-03-19,2012-03-19,Mar,2012,RB13B2,65,53,2.205,-25.79,11.33,17.4,10.12,33.11,0.582,1,,
Common Snook,Centropomus undecimalis,26139,191210_Massie(34S)+EA7,,2018-04-27,2018-04-27,Apr,2018,RB13B3,75.1,65.5,3.654,-22.06,11.27,8.69,7.03,23,0.297,1,,
Common Snook,Centropomus undecimalis,18378,191210_Massie(34S)+EA7,,2018-04-27,2018-04-27,Apr,2018,RB13B3,74,63.5,2.911,-25.62,10.42,7.81,6.88,22.75,0.327,1,,
Common Snook,Centropomus undecimalis,51640,191210_Massie(34S)+EA7,,2016-12-13,2016-12-13,Dec,2016,RB13B3,62.3,51.5,1.618,-24.43,12.13,16.01,6.23,20.44,0.345,1,,
Common Snook,Centropomus undecimalis,28240,191210_Massie(34S)+EA7,,2018-04-28,2018-04-28,Apr,2018,RB13B3,78,68,4.529,-26.29,12.08,24.52,7.02,22.8,0.35,1,,
Common Snook,Centropomus undecimalis,28227,191210_Massie(34S)+EA7,,2018-12-12,2018-12-12,Dec,2018,RB14B1,65.2,52.9,1.859,-25.2,10.38,13.74,6.12,20.02,0.381,1,,
Common Snook,Centropomus undecimalis,26132,191210_Massie(34S)+EA7,,2018-05-15,2018-05-15,May,2018,RB14B2,79,68.5,3.682,-24.75,10.33,6.78,6.98,23,0.323,1,,
Common Snook,Centropomus undecimalis,22177,191210_Massie(34S)+EA7,,2015-04-14,2015-04-14,Apr,2015,RB14B2,73.1,61.1,2.664,-24.34,11.29,9.2,7.7,24.9,0.339,1,,
Common Snook,Centropomus undecimalis,23FEB2020-AT-50-1,220204_Massie(34S) & 220209_Massie(CN),,2020-02-23,2020-02-23,Feb,2020,RB14B2,,,,-24.77,11.7,12.23,6.56,20.57,0.34,1,,
