Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Peak
2012/02,0.604182603,12-Feb,2011,2012,2,2012,Feb,OffPeak
2012/03,0.547597825,12-Mar,2011,2012,3,2012,Mar,PeakSnook
2012/04,0.37426832,12-Apr,2011,2012,4,2012,Apr,PeakSnook
2012/05,0.359700458,12-May,2011,2012,5,2012,May,PeakSnook
2012/06,0.528387292,12-Jun,2012,2012,6,2012,Jun,OffPeak
2012/07,0.483468858,12-Jul,2012,2012,7,2012,Jul,OffPeak
2012/08,0.430607359,12-Aug,2012,2012,8,2012,Aug,OffPeak
2012/09,0.391485257,12-Sep,2012,2012,9,2012,Sep,OffPeak
2012/10,0.470785906,12-Oct,2012,2012,10,2012,Oct,OffPeak
2012/11,0.590595821,12-Nov,2012,2012,11,2012,Nov,OffPeak
2012/12,0.614905483,12-Dec,2012,2012,12,2012,Dec,OffPeak
2013/01,0.541925926,13-Jan,2012,2013,1,2013,Jan,OffPeak
2013/02,0.540619026,13-Feb,2012,2013,2,2013,Feb,OffPeak
2013/03,0.525807072,13-Mar,2012,2013,3,2013,Mar,PeakSnook
2013/04,0.382958271,13-Apr,2012,2013,4,2013,Apr,PeakSnook
2013/05,0.265202242,13-May,2012,2013,5,2013,May,PeakSnook
2013/06,0.543626204,13-Jun,2013,2013,6,2013,Jun,OffPeak
2013/07,0.632796302,13-Jul,2013,2013,7,2013,Jul,OffPeak
2013/08,0.605893169,13-Aug,2013,2013,8,2013,Aug,OffPeak
2013/09,0.51702792,13-Sep,2013,2013,9,2013,Sep,OffPeak
2013/10,0.710527974,13-Oct,2013,2013,10,2013,Oct,OffPeak
2013/11,0.679484378,13-Nov,2013,2013,11,2013,Nov,OffPeak
2013/12,0.668059784,13-Dec,2013,2013,12,2013,Dec,OffPeak
2014/01,0.530959788,14-Jan,2013,2014,1,2014,Jan,OffPeak
2014/02,0.390829474,14-Feb,2013,2014,2,2014,Feb,OffPeak
2014/03,0.272091474,14-Mar,2013,2014,3,2014,Mar,PeakSnook
2014/04,0.332336759,14-Apr,2013,2014,4,2014,Apr,PeakSnook
2014/05,0.424873131,14-May,2013,2014,5,2014,May,PeakSnook
2014/06,0.34723012,14-Jun,2014,2014,6,2014,Jun,OffPeak
2014/07,0.582733115,14-Jul,2014,2014,7,2014,Jul,OffPeak
2014/08,0.632952789,14-Aug,2014,2014,8,2014,Aug,OffPeak
2014/09,0.513845741,14-Sep,2014,2014,9,2014,Sep,OffPeak
2014/10,0.648498327,14-Oct,2014,2014,10,2014,Oct,OffPeak
2014/11,0.561133894,14-Nov,2014,2014,11,2014,Nov,OffPeak
2014/12,0.537893968,14-Dec,2014,2014,12,2014,Dec,OffPeak
2015/01,0.262220046,15-Jan,2014,2015,1,2015,Jan,OffPeak
2015/02,0.343266105,15-Feb,2014,2015,2,2015,Feb,OffPeak
2015/03,0.361078829,15-Mar,2014,2015,3,2015,Mar,PeakSnook
2015/04,0.42659875,15-Apr,2014,2015,4,2015,Apr,PeakSnook
2015/05,0.499484602,15-May,2014,2015,5,2015,May,PeakSnook
2015/06,0.469661937,15-Jun,2015,2015,6,2015,Jun,OffPeak
2015/07,0.52868594,15-Jul,2015,2015,7,2015,Jul,OffPeak
2015/08,0.575702675,15-Aug,2015,2015,8,2015,Aug,OffPeak
2015/09,0.761972047,15-Sep,2015,2015,9,2015,Sep,OffPeak
2015/10,0.672627861,15-Oct,2015,2015,10,2015,Oct,OffPeak
2015/11,0.713713673,15-Nov,2015,2015,11,2015,Nov,OffPeak
2015/12,0.729879741,15-Dec,2015,2015,12,2015,Dec,OffPeak
2016/01,0.717595093,16-Jan,2015,2016,1,2016,Jan,OffPeak
2016/02,0.586369112,16-Feb,2015,2016,2,2016,Feb,OffPeak
2016/03,0.588391382,16-Mar,2015,2016,3,2016,Mar,PeakSnook
2016/04,0.479000469,16-Apr,2015,2016,4,2016,Apr,PeakSnook
2016/05,0.593337917,16-May,2015,2016,5,2016,May,PeakSnook
