Year.Month,Eadj,fYear.Month,wYear,Year,Month,fYear,fMonth,Peak
2012/02,0.604182603,Feb-12,2011,2012,2,2012,Feb,OffPeak
2012/03,0.547597825,Mar-12,2011,2012,3,2012,Mar,PeakSnook
2012/04,0.37426832,Apr-12,2011,2012,4,2012,Apr,PeakSnook
2012/05,0.359700458,May-12,2011,2012,5,2012,May,PeakSnook
2012/06,0.528387292,Jun-12,2012,2012,6,2012,Jun,OffPeak
2012/07,0.483468858,Jul-12,2012,2012,7,2012,Jul,OffPeak
2012/08,0.430607359,Aug-12,2012,2012,8,2012,Aug,OffPeak
2012/09,0.391485257,Sep-12,2012,2012,9,2012,Sep,OffPeak
2012/10,0.470785906,Oct-12,2012,2012,10,2012,Oct,OffPeak
2012/11,0.590595821,Nov-12,2012,2012,11,2012,Nov,OffPeak
2012/12,0.614905483,Dec-12,2012,2012,12,2012,Dec,OffPeak
2013/01,0.541925926,Jan-13,2012,2013,1,2013,Jan,OffPeak
2013/02,0.540619026,Feb-13,2012,2013,2,2013,Feb,OffPeak
2013/03,0.525807072,Mar-13,2012,2013,3,2013,Mar,PeakSnook
2013/04,0.382958271,Apr-13,2012,2013,4,2013,Apr,PeakSnook
2013/05,0.265202242,May-13,2012,2013,5,2013,May,PeakSnook
2013/06,0.543626204,Jun-13,2013,2013,6,2013,Jun,OffPeak
2013/07,0.632796302,Jul-13,2013,2013,7,2013,Jul,OffPeak
2013/08,0.605893169,Aug-13,2013,2013,8,2013,Aug,OffPeak
2013/09,0.51702792,Sep-13,2013,2013,9,2013,Sep,OffPeak
2013/10,0.710527974,Oct-13,2013,2013,10,2013,Oct,OffPeak
2013/11,0.679484378,Nov-13,2013,2013,11,2013,Nov,OffPeak
2013/12,0.668059784,Dec-13,2013,2013,12,2013,Dec,OffPeak
2014/01,0.530959788,Jan-14,2013,2014,1,2014,Jan,OffPeak
2014/02,0.390829474,Feb-14,2013,2014,2,2014,Feb,OffPeak
2014/03,0.272091474,Mar-14,2013,2014,3,2014,Mar,PeakSnook
2014/04,0.332336759,Apr-14,2013,2014,4,2014,Apr,PeakSnook
2014/05,0.424873131,May-14,2013,2014,5,2014,May,PeakSnook
2014/06,0.34723012,Jun-14,2014,2014,6,2014,Jun,OffPeak
2014/07,0.582733115,Jul-14,2014,2014,7,2014,Jul,OffPeak
2014/08,0.632952789,Aug-14,2014,2014,8,2014,Aug,OffPeak
2014/09,0.513845741,Sep-14,2014,2014,9,2014,Sep,OffPeak
2014/10,0.648498327,Oct-14,2014,2014,10,2014,Oct,OffPeak
2014/11,0.561133894,Nov-14,2014,2014,11,2014,Nov,OffPeak
2014/12,0.537893968,Dec-14,2014,2014,12,2014,Dec,OffPeak
2015/01,0.262220046,Jan-15,2014,2015,1,2015,Jan,OffPeak
