year	ID	source	mean
2011	4	Estuarine	0.964
2011	4	Freshwater	0.031
2011	4	Seagrass	0.004
2011	5	Estuarine	0.388
2011	5	Freshwater	0.113
2011	5	Seagrass	0.499
2011	6	Estuarine	0.023
2011	6	Freshwater	0.972
2011	6	Seagrass	0.005
2011	7	Estuarine	0.17
2011	7	Freshwater	0.806
2011	7	Seagrass	0.023
2011	8	Estuarine	0.892
2011	8	Freshwater	0.098
2011	8	Seagrass	0.01
2011	9	Estuarine	0.012
2011	9	Freshwater	0.985
2011	9	Seagrass	0.003
2011	10	Estuarine	0.047
2011	10	Freshwater	0.904
2011	10	Seagrass	0.049
2011	11	Estuarine	0.035
2011	11	Freshwater	0.959
2011	11	Seagrass	0.007
2011	12	Estuarine	0.02
2011	12	Freshwater	0.977
2011	12	Seagrass	0.003
2012	13	Estuarine	0.049
2012	13	Freshwater	0.862
2012	13	Seagrass	0.089
2012	14	Estuarine	0.005
2012	14	Freshwater	0.993
2012	14	Seagrass	0.002
2012	15	Estuarine	0.009
2012	15	Freshwater	0.987
2012	15	Seagrass	0.003
2012	16	Estuarine	0.009
2012	16	Freshwater	0.987
2012	16	Seagrass	0.003
2012	17	Estuarine	0.009
2012	17	Freshwater	0.988
2012	17	Seagrass	0.003
2012	19	Estuarine	0.03
2012	19	Freshwater	0.959
2012	19	Seagrass	0.011
2013	20	Estuarine	0.391
2013	20	Freshwater	0.592
2013	20	Seagrass	0.017
2013	21	Estuarine	0.883
2013	21	Freshwater	0.099
2013	21	Seagrass	0.018
2013	23	Estuarine	0.876
2013	23	Freshwater	0.092
2013	23	Seagrass	0.032
2013	24	Estuarine	0.449
2013	24	Freshwater	0.51
2013	24	Seagrass	0.041
2013	25	Estuarine	0.062
2013	25	Freshwater	0.913
2013	25	Seagrass	0.026
2013	26	Estuarine	0.077
2013	26	Freshwater	0.681
2013	26	Seagrass	0.242
2013	27	Estuarine	0.02
2013	27	Freshwater	0.976
2013	27	Seagrass	0.004
2013	28	Estuarine	0.185
2013	28	Freshwater	0.727
2013	28	Seagrass	0.088
2013	29	Estuarine	0.06
2013	29	Freshwater	0.911
2013	29	Seagrass	0.029
2013	30	Estuarine	0.216
2013	30	Freshwater	0.76
2013	30	Seagrass	0.024
2014	31	Estuarine	0.035
2014	31	Freshwater	0.953
2014	31	Seagrass	0.011
2014	32	Estuarine	0.033
2014	32	Freshwater	0.961
2014	32	Seagrass	0.006
2014	33	Estuarine	0.03
2014	33	Freshwater	0.965
2014	33	Seagrass	0.005
2014	34	Estuarine	0.015
2014	34	Freshwater	0.981
2014	34	Seagrass	0.004
2014	35	Estuarine	0.015
2014	35	Freshwater	0.981
2014	35	Seagrass	0.004
2014	36	Estuarine	0.038
2014	36	Freshwater	0.949
2014	36	Seagrass	0.013
2014	37	Estuarine	0.019
2014	37	Freshwater	0.974
2014	37	Seagrass	0.008
2014	38	Estuarine	0.022
2014	38	Freshwater	0.964
2014	38	Seagrass	0.015
2014	39	Estuarine	0.037
2014	39	Freshwater	0.947
2014	39	Seagrass	0.016
2014	40	Estuarine	0.097
2014	40	Freshwater	0.884
2014	40	Seagrass	0.019
2014	41	Estuarine	0.019
2014	41	Freshwater	0.975
2014	41	Seagrass	0.006
2014	42	Estuarine	0.161
2014	42	Freshwater	0.168
2014	42	Seagrass	0.671
2014	43	Estuarine	0.021
2014	43	Freshwater	0.973
2014	43	Seagrass	0.006
2014	44	Estuarine	0.018
2014	44	Freshwater	0.965
2014	44	Seagrass	0.017
2014	45	Estuarine	0.03
2014	45	Freshwater	0.955
2014	45	Seagrass	0.015
2014	46	Estuarine	0.025
2014	46	Freshwater	0.961
2014	46	Seagrass	0.014
2014	47	Estuarine	0.048
2014	47	Freshwater	0.93
2014	47	Seagrass	0.022
2014	48	Estuarine	0.014
2014	48	Freshwater	0.982
2014	48	Seagrass	0.005
2014	49	Estuarine	0.083
2014	49	Freshwater	0.879
2014	49	Seagrass	0.038
