year,mean_source_Freshwater,sd_Freshwater,mean_source_Estuarine,sd_Estuarine,mean_source_Seagrass,sd_Seagrass,n
2011,0.59,0.42,0.31,0.37,0.1,0.18,12
2012,0.97,0.05,0.02,0.02,0.02,0.04,7
2013,0.59,0.33,0.31,0.31,0.1,0.16,11
2014,0.85,0.26,0.1,0.18,0.06,0.16,17
2016,0.86,0.31,0.13,0.3,0.01,0.01,8
2017,0.77,0.36,0.22,0.34,0.02,0.03,14
2018,0.76,0.27,0.22,0.27,0.02,0.02,14
2019,0.9,0.06,0.07,0.04,0.02,0.02,4
2020,0.6,0.4,0.31,0.35,0.1,0.17,10
2021,0.95,0.02,0.02,0.01,0.02,0.02,4
2022,0.92,0.06,0.03,0.02,0.05,0.06,4
